Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.7,19.3,18.3,15.2,11.6,11.7,12.3,10.1,13.7,14.2,11.9,16.2,14,16.5,15,11.4,13.3
1954,16.6,13.9,15.4,15.4,14.6,11.6,10.9,11.8,12.6,14.4,14.7,16.9,14.1,15.6,15.1,11.4,13.9
1955,13.5,15.4,17.3,13.8,12.7,12,10.8,9.9,13.8,14.6,15.4,12.2,13.5,15.3,14.6,10.9,14.6
1956,15.8,12.7,15.5,13.2,17.7,14.2,9.9,10.5,10.8,12.1,13.3,13.6,13.3,13.6,15.4,11.5,12.1
1957,15.1,14.7,15.2,16,13.5,14.1,11.9,10.9,12.4,13,14.6,16.8,14,14.5,14.9,12.3,13.3
1958,17.9,14.5,13.3,16.8,13.4,12.7,8.9,11.2,12.1,12.3,15.2,14.8,13.6,16.4,14.5,10.9,13.2
1959,15.8,15.8,20.1,11.3,11.2,12,10.5,7.6,10,13.1,17.2,15.3,13.3,15.5,14.2,10,13.4
1960,15.8,15.8,16.2,15.9,10,11.9,11.4,9.8,10.8,13.3,14.9,15,13.4,15.6,14,11,13
1961,15.8,14.5,15.9,12.9,15.8,12.5,9.9,8.9,8.4,12.5,13.3,14.9,13,15.1,14.9,10.4,11.4
1962,17.6,13.2,16.2,15.3,11.9,12.5,11.2,11.8,11.2,15.3,13.7,16.3,13.8,15.2,14.5,11.8,13.4
1963,15.2,15.7,15.2,15.4,11.7,14,10.4,11.1,12.6,13.3,19.3,15.2,14.1,15.7,14.1,11.9,15.1
1964,17.6,17.5,18.5,11.8,14.6,13.2,9.6,11.4,11.1,13.4,15.8,16.7,14.3,16.8,15,11.4,13.4
1965,17.6,16.8,17.5,13.2,14.3,13.5,11.4,12.1,11,16.1,16.8,11.6,14.3,17.1,15,12.3,14.6
1966,17.7,14.6,15.6,12.5,13.5,12.8,12.6,10.7,12.8,14.9,14.6,18,14.2,14.6,13.9,12.1,14.1
1967,15.1,19.1,14.9,17.1,17.4,12.2,9.8,9.7,13.5,13.5,14.9,15.3,14.4,17.4,16.5,10.6,14
1968,16.7,15.3,15.5,16.6,10.5,13.1,13.4,13.5,8.5,14.8,15.9,18.6,14.4,15.8,14.2,13.3,13.1
1969,13.9,15.8,16,15.7,17.7,12.8,13.2,11.2,12.2,14.7,13.5,17.5,14.5,16.1,16.5,12.4,13.5
1970,14.1,16.5,14.5,13.8,14.3,14.8,13.2,10.6,12.1,11.8,11.5,18,13.8,16,14.2,12.9,11.8
1971,15.6,16.2,17.7,16.4,14,15.1,13.7,14.3,13.6,14.5,17,18.1,15.5,16.6,16,14.4,15.1
1972,16.9,18.5,18.3,12.7,14.7,13.9,11.5,12.4,16,15,15.6,15.5,15.1,17.8,15.2,12.6,15.5
1973,17,17.6,15.6,17,13.7,12.9,12.4,8.7,11.6,14.8,16.7,18.9,14.7,16.7,15.4,11.3,14.4
1974,15.4,16.6,20.4,15.6,15.6,12.1,9.3,9.9,12,15.3,16.7,15.1,14.5,17,17.2,10.4,14.7
1975,14.9,12.4,13.6,13.2,11.8,10.5,9,6.2,9.6,14.2,18.1,17.2,12.6,14.2,12.9,8.6,14
1976,15.8,18.9,18.3,13.8,16.5,10.6,10.7,12.2,12.6,15.7,18,21.9,15.4,17.3,16.2,11.2,15.4
1977,17.3,14.7,16.7,18.1,16.3,13.8,13.8,11.2,12.8,15.8,16.4,19.3,15.5,18,17,12.9,15
1978,18,14.9,19,15.9,15.2,15.3,12.1,10.5,14.4,14.7,14.6,15.2,15,17.4,16.7,12.6,14.6
1979,18.4,20.1,19.1,17.3,15.5,14.1,12.3,13.5,16.8,13.9,16.9,18.6,16.4,17.9,17.3,13.3,15.9
1980,18.9,14.2,18.4,14.9,12.8,13,10.3,8.4,13.7,12.6,16.9,14.1,14,17.2,15.4,10.6,14.4
1981,13.5,15.4,14.8,18.6,14.2,12.8,10.7,9.7,12.8,13.4,15.2,14.1,13.8,14.3,15.9,11.1,13.8
1982,18.1,17.4,15.4,19.7,14.4,11.5,12.3,11.7,10.2,11.3,16.4,16.1,14.5,16.5,16.5,11.8,12.6
1983,15.5,18.8,18.7,16,16.3,10.9,12.5,11.4,12.1,14.5,19,17.3,15.2,16.8,17,11.6,15.2
