Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,22.1,20.2,25.1,22.9,23.7,18.1,17.2,17.5,19.6,24.1,25.9,22.6,21.6,21.1,23.9,17.6,23.2
1954,24.7,27.4,21.6,27,22,21.5,19.8,16.7,21.2,24.9,27.9,21.4,23,24.9,23.5,19.4,24.7
1955,20.4,23.4,19.7,13.6,12.3,14.4,8.7,9.2,10.1,13.7,17.6,20.9,15.3,21.7,15.2,10.8,13.8
1956,25.8,20,20.4,19.2,16.8,23.3,17,17.6,16.6,19.9,19.5,23.2,19.9,22.2,18.8,19.3,18.7
1957,23.4,19.4,21.1,16.9,20.7,18.1,18.5,15.3,19.8,23.7,22.1,22.6,20.1,22,19.6,17.3,21.8
1958,30.9,30.5,18.7,21,23.5,18.1,20.4,17.9,19.8,22.4,20.6,24.7,22.4,28,21.1,18.8,20.9
1959,24,22.9,19.4,17.5,19.8,20.4,19.2,17.7,19.9,21.5,26.4,26.1,21.2,23.9,18.9,19.1,22.6
1960,22.8,24.7,23.5,25.8,21.1,19.3,20.6,16.7,13.6,16.8,22.2,18.5,20.5,24.5,23.4,18.9,17.5
1961,17.7,17.5,20.6,16.5,18.1,21.5,14.6,13.5,16.7,19.5,20.6,14.6,17.6,17.9,18.4,16.5,18.9
1962,20.6,21.4,19.6,22.4,14.1,15.2,13.1,16,16.5,18,15.7,22.7,18,18.9,18.7,14.8,16.7
1963,12.4,19.4,14,18.2,14.1,13.8,12.5,11.3,17,19.4,26,29.6,17.3,18.2,15.5,12.5,20.8
1964,24.8,20.4,24,25.6,19.2,21.2,21.4,18.5,20.1,20.6,19.6,24.2,21.6,24.9,22.9,20.4,20.1
1965,20.9,19.3,20.7,22.3,19.1,22.1,20.3,15.9,16.9,21,25.2,22.3,20.5,21.5,20.7,19.4,21
1966,24.3,16,25.2,18.6,15.9,18.6,15.6,16.6,18.3,21,24,24.9,19.9,20.9,19.9,16.9,21.1
1967,21.7,23.7,22.8,18.9,18.9,17.6,15.6,15.8,18.8,20.4,19.1,23.3,19.7,23.4,20.2,16.3,19.4
1968,21.6,17.3,22.1,22.1,17.8,18.3,15.5,17.2,18.3,24.3,24.7,23.2,20.2,20.7,20.6,17,22.4
1969,26.3,17.8,15.7,23.1,17.1,13.5,16,16.5,20.3,17.8,21.4,24.3,19.1,22.4,18.6,15.3,19.8
1970,21.2,19.8,22.2,19.5,19.9,18.4,16.8,17.2,19.2,23.9,24.4,24.9,20.6,21.8,20.5,17.5,22.5
1971,19.4,18.9,24.4,21.7,20.3,18.7,13.8,17,16.5,18.3,23.4,21.6,19.5,21.1,22.1,16.5,19.4
1972,22.6,21,18.7,20.7,17,17.6,15.6,14.6,20,19,23.7,23,19.5,21.7,18.8,15.9,20.9
1973,22.2,18.1,18,20.5,20.2,22.7,15.1,16.5,15.4,19.7,22.4,22.2,19.4,21.1,19.6,18.1,19.2
1974,21.3,18.2,17.7,20.1,19.6,18.7,14.8,15.1,14.9,20.5,19.1,21.4,18.4,20.6,19.1,16.2,18.2
1975,19.7,20.4,17.3,17.7,20.1,17.4,16.5,16.4,15.4,26.7,21.7,21.1,19.2,20.5,18.4,16.8,21.3
1976,20.3,17.8,20.4,17.6,20.5,14.7,18.6,13.3,17.8,16.2,18.1,21.8,18.1,19.7,19.5,15.5,17.4
1977,15,26,21.2,19.9,18.8,19.7,16.3,15.4,16.5,24.8,27.2,18.2,19.9,20.9,20,17.2,22.8
