Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,14.1,13.5,16.6,13.9,16.3,15.8,15.8,15.7,18.3,14.2,15.4,16.7,15.5,13.8,15.6,15.8,16
1954,13.5,16.3,15.7,18.2,19.2,16.4,15.1,13.6,15.6,15.9,15.8,16.1,16,15.5,17.7,15.1,15.8
1955,10.6,13.4,17.2,16.7,20,15.5,15.5,14.7,17.1,16.4,17.4,16.8,15.9,13.4,18,15.2,16.9
1956,14,12.9,18.4,13.3,14.1,17,10.9,11,13.2,13.8,13.7,13.4,13.8,14.5,15.3,12.9,13.6
1957,13.9,15,11,13.8,18.5,12.6,15.9,11.7,15,14.3,13.1,13.5,14,14.1,14.4,13.4,14.1
1958,11.4,14.7,12.8,16.7,16.3,14.6,12.1,12.8,17.2,13.8,14.2,13.1,14.1,13.2,15.3,13.2,15
1959,17.3,15.5,18,19.1,16.5,15.4,14,13.1,16,13.9,14.5,14.2,15.6,15.3,17.8,14.2,14.8
1960,11,11.4,14.6,19.5,19.1,20.3,15.1,16.1,19.8,20.3,19,16,16.8,12.2,17.7,17.2,19.7
1961,16.2,14.8,17.4,18,17.7,16.8,17.5,16.4,19.9,19.5,19.4,17.3,17.6,15.7,17.7,16.9,19.6
1962,19.1,13.3,16.2,17,17.8,19.2,17.9,17.1,17.9,18,17.1,16.8,17.3,16.6,17,18.1,17.6
1963,19,14.3,17.5,16.6,18.4,17.9,13.6,10.3,14.2,14.2,13.2,12.1,15.1,16.7,17.5,13.9,13.8
1964,13,16.1,12.2,17,19.5,14.7,16.5,18.7,16.8,15.3,13.9,12.9,15.5,13.7,16.2,16.6,15.3
1965,12.2,14.4,14.7,18.6,23.5,20,13.4,14.5,15.6,15.9,13,14.2,15.8,13.1,18.9,16,14.8
1966,15.6,10.5,15.6,18.2,19.6,14.1,12.1,11.3,12.4,14.6,16,15.4,14.6,13.5,17.8,12.5,14.3
1967,17.7,15.4,19.1,14.9,18,17.3,20.9,19,25.3,24.5,19.6,17.6,19.1,16.2,17.4,19,23.1
1968,17.1,14.6,15.7,16,17.4,15,12.8,13.2,13.5,11.8,12.8,13.3,14.4,16.4,16.4,13.7,12.7
1969,12.3,12.7,13.8,14.5,16.1,13.5,11.5,13.4,15.2,14.7,14.1,12,13.6,12.8,14.8,12.8,14.7
1970,13.3,14.2,13.8,15,14.5,15.1,12.2,14.1,12.3,12.9,12.8,13.8,13.7,13.2,14.4,13.8,12.7
1971,14.3,12.8,14.5,15.8,15.5,12.8,15.7,15.4,15.4,17.3,18.3,18.1,15.5,13.6,15.3,14.7,17
1972,18.3,13.7,14.2,22.7,14.5,18.4,14.1,12.6,17.3,18.1,13.3,14.6,16,16.7,17.1,15,16.3
1973,14.6,17.4,17,19.2,16.2,19,16.4,16.1,15.7,16.4,16.5,16.5,16.8,15.5,17.5,17.2,16.2
1974,16.8,17.2,18.4,15.4,19.2,17.5,16.8,16.1,16,17.3,17.6,15.5,17,16.8,17.7,16.8,17
1975,15.2,17.4,16.4,18.1,17.9,15.9,14.3,17.2,17,15.8,13.8,14.7,16.2,16,17.5,15.8,15.5
1976,16.4,17.3,16.6,18.7,20.4,16.1,16.8,17,15.8,17.1,15,17.2,17,16.1,18.6,16.6,15.9
1977,13.6,13.2,17.9,18.1,17.8,16.8,15.4,13.7,13.9,18.1,15.9,14.9,15.8,14.7,17.9,15.3,16
1978,13.5,16.1,13.6,19.7,16.4,14.5,12.4,13.7,14.8,15.9,13.3,17,15.1,14.8,16.6,13.5,14.7
1979,13.8,14.4,14.9,15.9,16.3,16.6,15.5,16.7,18.8,17,12.3,15.5,15.6,15.1,15.7,16.3,16
1980,17.2,15,15.5,16.6,15,17.4,14.8,14.2,14.9,15,14.2,14.2,15.3,15.9,15.7,15.5,14.7
1981,12.5,14.2,13.8,16.8,16.6,14.6,13.1,12.1,15.7,17.9,12.6,12,14.3,13.6,15.7,13.3,15.4
1982,12.8,15.1,17.3,16.8,18.5,13.1,14.1,14.4,16.7,15.7,14.3,14.1,15.2,13.3,17.5,13.9,15.6
1983,12.6,15.6,17.3,15.9,16.4,16.3,14.9,13.5,18.8,14.5,14.2,14.1,15.4,14.1,16.5,14.9,15.9
1984,16.1,14.4,13.1,16.5,19.3,17,17.2,15.3,14.1,19.1,15.8,15.7,16.1,14.9,16.3,16.5,16.3
1985,15.6,14.5,15.9,18.1,14.9,17.3,13.3,15.2,16.6,17.9,12.2,15.5,15.6,15.3,16.3,15.3,15.6
1986,16.5,12.1,15.8,18,17.5,15.6,14.8,12.4,14.7,13.8,14.4,14.1,15,14.7,17.1,14.3,14.3
1987,16,13,15.8,17.1,17.1,17.7,13.7,13.9,13.9,17.1,12.1,14.3,15.2,14.4,16.7,15.1,14.4
1988,13.4,16.5,15.4,16.5,17,21,17.1,14.8,17.6,14.4,15.6,14.3,16.1,14.7,16.3,17.6,15.9
