Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.6,17.6,16.4,19.5,24.4,-9999.9,-9999.9,-9999.9,-9999.9,17.8
1962,25,21.3,17.8,18.7,17.3,16.3,15.7,14.1,16.9,14.9,15.4,17.7,17.6,23.6,17.9,15.4,15.7
1963,15.7,14.9,19.4,24.2,18,17.1,17,15.7,13.3,13.1,17.7,17.7,17,16.1,20.5,16.6,14.7
1964,21.1,17.8,20.9,21.8,19.2,18.4,16.8,20,19.1,18.4,23.2,19,19.6,18.9,20.6,18.4,20.2
1965,22.8,22.9,18.1,18.4,18.9,17.8,17.1,16.1,17.2,21.7,21.6,19,19.3,21.6,18.5,17,20.2
1966,19.1,17.6,21.1,20.6,21.3,15.8,16.1,15.7,18.5,21.9,21.1,18.6,19,18.6,21,15.9,20.5
1967,20.4,20.3,19.1,21.9,21.8,16.1,16.2,16.5,16.8,20,20.6,22.6,19.3,19.7,20.9,16.2,19.2
1968,18.5,21.3,18.9,20.1,19.6,17,18.2,17.1,16.2,18.4,20.7,18.9,18.7,20.8,19.5,17.4,18.4
1969,19.2,15.7,19.1,17,17.8,17.9,15.4,16.5,16.8,19.2,16.2,16.6,17.3,18,18,16.6,17.4
1970,14.7,16.9,16.6,16.9,17.3,16.1,14.3,13.5,16.7,17.5,18.1,17.9,16.4,16.1,16.9,14.6,17.4
1971,20,17.3,17.3,18.3,17.7,13,13.1,13.1,12.3,14.9,16.6,18.4,16,18.4,17.8,13.1,14.6
1972,21,14,17.1,14.5,13.6,14.3,12.4,12.4,15.5,17.9,14.6,17.7,15.4,17.8,15.1,13.1,16
1973,17.8,15.2,16.5,19.7,18.8,14,15.3,13,16.4,18.2,23.2,16.3,17,16.9,18.4,14.1,19.3
1974,18,13.6,20.5,17.3,18.2,15.7,14.5,14.1,16.5,17.2,16.6,15.5,16.5,16,18.6,14.8,16.8
1975,18.9,15.3,18,18.7,15,15.5,16.5,15.9,16.7,19.7,19.2,18.4,17.3,16.6,17.2,16,18.5
1976,19.4,17.7,20.5,17.8,19.5,14.4,18.3,16.1,18.4,17,21.3,19.4,18.3,18.5,19.3,16.3,18.9
1977,18.2,20.3,19.3,18.9,16.4,13.8,13.3,18.1,19.1,22.7,21.7,24.2,18.8,19.3,18.2,15.1,21.2
1978,22.4,16.9,17.8,23.3,18.7,17.6,17.3,16.3,19.1,19.6,21.4,19.3,19.1,21.2,19.9,17.1,20
1979,16,14,17,16.8,17,14.8,12.8,14.2,14.2,14.2,17.2,18.9,15.6,16.4,16.9,13.9,15.2
1980,17.9,12.4,17.2,16.2,15.7,15.5,12.6,12,17.5,20.7,16.4,19.4,16.1,16.4,16.4,13.4,18.2
1981,12,15.4,16.2,17.4,15.9,13.9,10.8,10.1,14.7,16,15.8,15,14.4,15.6,16.5,11.6,15.5
1982,18.9,15.1,21.8,20,15.9,17,15.8,16.7,17.3,18,19.1,20,18,16.3,19.3,16.5,18.1
1983,17.3,15.4,17,18.2,19.1,14.6,13.9,14.1,16.7,18.5,22,20.1,17.2,17.6,18.1,14.2,19.1
1984,16.8,17.3,18.7,18.4,18.2,16.5,15.2,12.8,17.1,17.5,21.4,24.4,17.8,18,18.4,14.8,18.7
1985,16.7,16.3,19.6,18.3,17,19.2,15.8,14.9,15.9,19.2,20,17.9,17.6,19.1,18.3,16.7,18.3
1986,16.5,13,15.3,17.6,15.1,15.6,11.6,14.2,15.7,13.2,20.2,18.5,15.5,15.8,16,13.8,16.4
1987,15.6,14.2,14.3,17.5,15,13.7,13.3,15.2,14.2,17,19.1,18.5,15.6,16.1,15.6,14.1,16.8
1988,16,18.3,20,19.1,15.3,17.6,13.7,13.9,16.9,17.9,19.4,20.5,17.4,17.6,18.1,15.1,18.1
1989,19,15.9,16.6,15.3,16.7,13.6,12.4,13,13.8,17.4,21.5,14.7,15.8,18.5,16.2,13,17.6
1990,18.4,16.7,15.2,16,15.6,14.5,12.9,11.6,14.7,17.2,21.6,19,16.1,16.6,15.6,13,17.8
1991,18.4,16,19,18.1,15.9,16.4,15.3,15.2,17.5,19.2,20.3,17.5,17.4,17.8,17.7,15.6,19
1992,16.5,15.1,15.8,16.3,17.7,16.2,15.3,15.4,17.9,15.6,17.6,19.4,16.6,16.4,16.6,15.6,17
1993,17.7,14.8,14.5,16.6,17.5,15,15.6,11.8,13.9,17.4,16.1,13.8,15.4,17.3,16.2,14.1,15.8
1994,15,15.9,15.6,18,15.6,14.1,12.9,14.4,13.3,15.5,18.9,13.1,15.2,14.9,16.4,13.8,15.9
1995,17.2,16.9,15.4,16.6,15.9,13.1,13.5,11.9,11.7,17.1,18.3,17.5,15.4,15.7,16,12.8,15.7
1996,15.1,14.6,16.2,15.8,14.8,13.1,13,12.6,12.4,16.8,16.3,16.2,14.7,15.8,15.6,12.9,15.2
1997,17.8,16.1,17.2,17.4,17.5,14,13.8,13.5,16,15.8,15,15.8,15.8,16.7,17.3,13.7,15.6
1998,15.9,13.7,16.4,16.5,15.7,15,13.5,11.1,12.7,15.3,16.7,18.3,15.1,15.1,16.2,13.2,14.9
1999,15.5,16.5,14.6,15.9,15.9,13.3,12.7,11.5,12.2,16.4,17.8,17.4,15,16.8,15.5,12.5,15.5
2000,16,16.8,16.7,16.8,15.5,15.8,13.9,13,15.7,13.2,15.5,15.1,15.3,16.7,16.3,14.2,14.8
2001,15.2,16.5,16,18.8,17.5,15,15.8,14.2,13.5,17,17.1,18,16.2,15.6,17.4,15,15.9
2002,17.5,18.8,17.2,17.4,18.2,14.5,12.3,12.2,13.8,16.4,15.6,18.8,16.1,18.1,17.6,13,15.3
2003,16.5,14.6,15.9,16.9,16.1,13.4,14.4,13.4,15.6,14,17.8,15.1,15.3,16.6,16.3,13.8,15.8
2004,13.7,13.7,14.7,15.9,15.3,14,12.4,13.8,12.4,15.2,15.6,16.3,14.4,14.2,15.3,13.4,14.4
2005,15.2,13.2,13,14.8,14.6,13.2,12,11.5,13.2,13.8,19.5,17.2,14.3,14.9,14.1,12.2,15.5
2006,15.6,15.7,14.9,15.6,16.6,13.1,12.5,12.6,12.6,15.3,13.9,15.7,14.5,16.2,15.7,12.7,13.9
2007,15.1,16.6,16.8,15.9,14.3,13.2,12.7,13.9,14.7,15.8,16,16.5,15.1,15.8,15.7,13.3,15.5
2008,16.6,11.9,13.6,14.7,15,13.4,13.3,13,12.8,15.3,14.9,17.5,14.3,15,14.4,13.2,14.4
2009,13,15.2,16.8,17,17.7,13.6,13.9,11.9,10.7,15.7,13.4,15.1,14.5,15.2,17.2,13.1,13.3
2010,13.9,12.7,13,14.8,15.3,13.6,12.4,12.9,15.8,15.6,16.7,14.8,14.3,13.9,14.4,13,16.1
2011,12.1,15.6,13.9,14.8,14,14.3,11.7,11.5,12,15,17.1,14.9,13.9,14.2,14.2,12.5,14.7
2012,15.9,16.2,14.6,16.3,14.1,13.8,10.6,12.9,11,14.8,14.9,14.7,14.2,15.6,15,12.4,13.5
2013,16.3,14.3,16.2,16.4,15.2,11.6,11.3,10.9,11.7,14.4,17.9,16.2,14.4,15.1,15.9,11.3,14.7
2014,15,13.9,14.7,15.9,13.8,11.8,13.3,11.9,11.2,16.1,16.9,15.1,14.1,15.1,14.8,12.4,14.7
