Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,10.4,15.4,14.2,13.6,15.4,16.7,15.9,14.8,14.6,18.4,16.2,12.2,14.8,12.9,14.4,15.8,16.4
1954,14.5,12.9,18.6,21.1,14.7,15.7,12.9,17,17.7,15.7,13.2,10.3,15.4,13.2,18.1,15.2,15.5
1955,7.4,11.9,18.6,12.2,10.5,12.3,17.8,15.6,21.2,17.6,16.6,17.8,14.9,9.9,13.8,15.2,18.5
1956,14.3,15.3,17.2,13.9,16.3,11,10.9,12.8,16.8,18.9,15.4,14.1,14.7,15.8,15.8,11.5,17
1957,15.8,16,14.5,18.4,16.3,16.1,12.3,17.5,15.2,17.4,16.8,17,16.1,15.3,16.4,15.3,16.5
1958,13.6,15.9,10.8,15.4,16.3,17.8,15.2,12.3,16.7,16.7,19.2,17.3,15.6,15.5,14.2,15.1,17.5
1959,20.8,18.9,18.8,15.4,17.1,14.1,16,15.8,21.5,18.5,17.7,12.6,17.3,19,17.1,15.3,19.3
1960,14,15.3,10.1,14.8,12.4,16.4,16.6,14.1,16.4,16.6,14.6,18,14.9,14,12.4,15.7,15.9
1961,13.3,11.5,15.1,8.3,15.6,14.2,11.9,14.8,15.3,15.7,15.8,15.8,13.9,14.3,13,13.6,15.6
1962,17.3,10,15.2,13.2,18.2,14.8,13.8,12.8,13,14.7,16.2,16,14.6,14.4,15.5,13.8,14.6
1963,14.5,19.9,17.7,17,16.9,18.3,13.9,13.8,17.8,20.5,14.4,20.4,17.1,16.8,17.2,15.3,17.6
1964,15.1,16.1,13.6,15.7,16.3,17.6,15.6,16.6,19.8,15.7,12.3,14.1,15.7,17.2,15.2,16.6,15.9
1965,17.1,12.3,15.5,12,14.9,13.1,11.1,14.1,15.9,15.2,14.3,9.3,13.7,14.5,14.1,12.8,15.1
1966,11.4,10,9.5,13.3,12.8,12.9,14.5,10.6,12.8,17.2,15.4,13,12.8,10.2,11.9,12.6,15.2
1967,10.7,16.1,12.6,14.8,12.4,15.8,12.3,12.7,15.6,14.5,12.6,14.1,13.7,13.3,13.3,13.6,14.2
1968,15.2,15.4,14.1,17.1,12.3,13.7,14.8,14.4,11.2,15.9,14.8,17.7,14.7,14.9,14.5,14.3,14
1969,14.6,13.4,13.4,11.8,18.5,15.8,14.6,14.8,16.6,17.5,15.8,13.3,15,15.2,14.6,15,16.6
1970,14.5,16.2,11.9,12.7,16,15,12.4,11.5,17.1,13,16.5,15.8,14.4,14.7,13.6,13,15.6
1971,15.4,15.3,16.6,14.6,17.3,17.8,16.2,15.9,18.4,18.8,15.1,11.3,16.1,15.5,16.2,16.6,17.5
1972,16.2,16.2,14.8,15.3,14.8,15.5,15.2,15.4,19.2,19.8,17.3,18.4,16.5,14.6,15,15.4,18.8
1973,19.1,15.4,19.3,18,12.5,13,14.2,11.3,18.2,16.4,12.3,20,15.8,17.6,16.6,12.9,15.6
1974,15.1,21.2,19.2,15.6,15.3,13.8,13.5,16.2,18.7,19.3,18.8,12.4,16.6,18.8,16.7,14.5,19
1975,14.2,17.4,18.5,18.8,13.5,15.3,15,16.8,14,19.2,18,16.5,16.4,14.7,16.9,15.7,17.1
1976,13,17.2,17.3,19.3,16.2,15.2,14.7,18.5,14.1,17,14.3,17.6,16.2,15.6,17.6,16.2,15.1
1977,17.7,15.2,15.7,20.8,20.1,14.8,18.7,14.3,12.2,16.8,20.1,14.1,16.7,16.9,18.9,15.9,16.3
1978,15.7,17.3,17.9,19.2,19.3,17.7,16.7,19.6,19.7,21.3,25.8,14.6,18.7,15.7,18.8,18,22.3
1979,13,27.9,15.7,16.6,16.6,17.9,15.5,15.1,17.4,-9999.9,-9999.9,14,17,18.5,16.3,16.2,-9999.9
1980,19.5,16.7,17,13.4,17.1,16.5,16.6,14.3,16.5,18.4,13.8,16.5,16.4,16.7,15.8,15.8,16.2
1981,14.2,17.2,14.1,17.9,13.7,15.7,15.8,12.3,14.9,15.8,17.5,13.2,15.2,16,15.2,14.6,16.1
1982,18.4,16.9,18.4,14.6,15.6,14.3,13.7,14,14.7,14.2,17.3,15.4,15.6,16.1,16.2,14,15.4
1983,13.1,15.7,16.3,15.1,15.4,15.6,16,16.4,12.9,18.2,15.6,16.9,15.6,14.8,15.6,16,15.6
1984,14.9,13.7,14,10.4,14.7,14.9,12.2,14.8,18.7,16.7,15.6,14.6,14.6,15.2,13,14,17
1985,19.9,13,20.2,18.5,14.2,13,12.6,13,14.6,16,16.2,17,15.7,15.8,17.6,12.9,15.6
1986,17.8,15.8,18,16.9,14.7,19.7,13.5,14.5,17.9,17.7,14.1,15,16.3,16.9,16.5,15.9,16.6
1987,13.4,19.2,13.3,15.5,17.5,15.9,14.7,14.1,12.4,15.4,20.3,8.8,15,15.9,15.4,14.9,16
1988,14.2,14.3,16.5,14.3,14.2,15.8,12.6,15.4,15,16.2,17.1,11.4,14.7,12.4,15,14.6,16.1
1989,13.4,13.3,17.4,14.2,13.1,12.6,15.2,13.2,16.2,15.4,17.1,17,14.8,12.7,14.9,13.7,16.2
1990,15.3,17.5,17.5,14.4,12.4,14.8,11.8,14.5,16.8,17.2,17.4,17.9,15.6,16.6,14.8,13.7,17.1
1991,13.4,15.2,16.2,13.8,16.2,16.8,13,13.9,15.3,15.3,13.9,18.2,15.1,15.5,15.4,14.6,14.8
1992,18.4,13.7,17.2,15.7,17.5,16.9,14.1,15,20.1,17.1,17,13.5,16.4,16.7,16.8,15.4,18.1
1993,16.3,13.9,16.7,15.4,16.4,14.3,14.4,14.8,18.9,19.5,20.1,13.7,16.2,14.6,16.2,14.5,19.5
1994,17.5,18.7,14.9,16.5,15,16,15.8,17.8,16.3,16.6,21,14.8,16.7,16.6,15.5,16.5,18
1995,12,13.1,16.8,15.5,12.6,17.8,15.6,17.5,18.8,16,18.2,11.7,15.5,13.3,14.9,16.9,17.7
1996,16.1,15.8,19.9,13.6,15.1,14.2,14.1,17.5,14.7,16.2,16,15.7,15.7,14.6,16.2,15.3,15.6
1997,17.6,16.2,17.7,14.9,14.9,15.9,16.8,12.6,14.8,15.8,16.9,14.9,15.7,16.5,15.8,15.1,15.8
1998,15.1,12.2,13.6,14.3,14.7,15.2,13,15.6,15.9,19.3,16.6,20.1,15.5,14.1,14.2,14.6,17.3
1999,15.9,15.1,17.6,16.6,16.5,16.8,13.9,15.4,14.3,18,16.6,16.1,16.1,17.1,16.9,15.4,16.3
2000,18,15.9,16.5,15.9,14.8,17.5,12.9,13.2,18.3,16.2,10.4,19.4,15.8,16.7,15.7,14.5,15
2001,9.8,14.2,12.8,17,13.4,16.6,13.8,15.2,15.3,17.6,16.4,14.8,14.7,14.4,14.4,15.2,16.4
2002,12.6,14,17,16.9,15.3,16.5,15.4,15,17.4,17.5,13.9,12.9,15.4,13.8,16.4,15.7,16.3
2003,17.3,16.4,15.8,17.6,12.9,15.9,13.1,14.3,18,17.9,18.2,14.4,16,15.5,15.4,14.4,18
2004,19.1,16.2,13.8,18.4,18.5,14.8,13.1,13.6,17.6,15.3,17.5,14.4,16,16.5,16.9,13.8,16.8
