Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.9,25,23.6,20.6,20.9,19,18.7,16.6,18.5,18.6,17.2,21.5,20.1,22.9,21.7,18.1,18.1
1954,21.3,18.3,24.2,22.3,19.2,16.8,15.9,18.4,17.1,20.1,19.3,21.9,19.6,20.4,21.9,17,18.9
1955,21.1,19.6,27.9,18.2,16.6,14.4,16.4,16,18,18.3,20.5,21.5,19,20.9,20.9,15.6,18.9
1956,22.5,21,20.6,20.6,21.2,17.3,16.5,18.3,18.9,17.6,20.1,21.6,19.7,21.6,20.8,17.3,18.9
1957,20.4,22.8,24.9,21.7,22.8,20.4,17.3,17.5,19.5,18,21.4,22.6,20.8,21.6,23.1,18.4,19.7
1958,22.6,24.8,17.2,21.7,22.8,22.5,17.3,18.5,19.7,19.6,24.4,18.6,20.8,23.4,20.6,19.4,21.2
1959,21.7,21.4,24.7,20.7,19.3,18.6,15.3,13.7,17.2,21.3,19.7,19.9,19.5,20.6,21.5,15.9,19.4
1960,22.9,22.4,21.8,19.2,16,18.5,15.5,15,16.5,19.9,20.1,22.3,19.2,21.7,19,16.4,18.8
1961,22,17.7,22,16.5,20.1,15.6,12.4,14,14.2,13.8,16.3,20.3,17.1,20.7,19.5,14,14.8
1962,25.6,18.6,23.3,21.2,21.6,16.4,19.1,14.7,18.9,19.2,19.5,22.2,20,21.5,22,16.7,19.2
1963,23.8,24.1,25.1,25.3,21.5,20.1,17.8,17.4,18.2,17.1,24.8,23.7,21.6,23.4,24,18.4,20
1964,22,18.8,16.9,14.2,17.5,16.5,13.2,15.9,17,17.1,19.2,21.2,17.5,21.5,16.2,15.2,17.8
1965,26.6,20.1,25.5,20.3,21.5,18.5,16.2,17.5,15.3,19.2,24.4,24,20.8,22.6,22.4,17.4,19.6
1966,28.4,21.4,21.8,19,21,16.4,17.5,17,17.1,19.5,18.8,22.4,20,24.6,20.6,17,18.5
1967,22.4,23.5,19.4,21.3,21.9,15.6,14.4,14.9,18,15.6,16.2,17.1,18.4,22.8,20.8,15,16.6
1968,19.2,16.6,17.7,20.3,15.8,17,15.5,16.4,12.4,16.1,17.7,20.6,17.1,17.6,17.9,16.3,15.4
1969,19.1,16.5,19,19.6,20,18.9,19.2,15.8,18.7,18.9,22.1,22.9,19.2,18.7,19.6,18,19.9
1970,19.7,19.2,18.1,18,17.5,21,17.2,18.2,19.8,17.3,19.5,23,19.1,20.6,17.9,18.8,18.9
1971,22.5,19.3,23.8,16.4,15,14.7,15.7,16.6,19.1,17.1,20,20.5,18.4,21.6,18.4,15.7,18.7
1972,19.7,21,20.5,18.7,17.4,18.1,17.2,17.2,20.2,19.1,20.2,18.6,19,20.4,18.8,17.5,19.8
1973,19,20.3,18.3,22.5,18.7,17.3,15.8,15.9,16.8,19.9,17.7,19.6,18.5,19.3,19.8,16.3,18.2
1974,18.1,20.5,21.1,20,20,15.2,12.9,14.4,14.5,18.7,20.2,17.7,17.8,19.4,20.3,14.2,17.8
1975,17.1,17.8,18.8,20.5,16.1,17.2,14.1,14.5,12.7,14.9,17.3,18.8,16.7,17.5,18.5,15.3,15
1976,17.1,17.9,19.5,18.2,21.2,15,17.6,15.1,16.1,17.6,17.5,21.3,17.9,18,19.7,15.9,17.1
1977,21.9,16.4,19.7,23.2,20.9,14.9,13.6,12.7,15,17.9,19,21.9,18.1,19.9,21.2,13.7,17.3
1978,18.9,17.2,21.6,18,14.3,13.9,12.5,14.5,13.9,15.2,15.2,15.6,15.9,19.3,18,13.6,14.8
1979,16.9,19.8,17.9,18.8,18.4,13.5,12.4,14.2,14.8,-9999.9,15.3,17.2,16.3,17.4,18.4,13.4,15
1980,18.8,16.4,18.1,15.9,16.9,16.3,13,12.9,16.6,15.5,17.3,18.8,16.4,17.5,17,14.1,16.5
1981,16.9,17.6,16.2,16.4,15.7,17.1,14.6,12,14.4,14.1,17,16.8,15.7,17.7,16.1,14.5,15.2
1982,21.1,18.5,21.7,22.8,15.5,19.7,14.9,13.6,14.2,16,16.3,18.4,17.7,18.8,20,16.1,15.5
1983,17.6,20,21.7,24.2,19.1,15,13.7,14,14.8,14.4,18.8,19.2,17.7,18.7,21.7,14.2,16
1984,14.1,17.2,15.4,16.2,17.8,16,13.6,12.4,15.9,12.7,16.8,16.8,15.4,16.9,16.5,14,15.1
1985,21.1,18.5,20.9,19.1,17.7,17.8,13.5,13.3,14.3,18.5,15.8,17.1,17.3,18.8,19.2,14.9,16.2
1986,18.5,17,17.6,21.5,12.3,15.5,13.9,14,16.4,12.6,17,15.3,16,17.5,17.1,14.5,15.3
1987,14.8,19.1,18,16.8,16.4,15.3,13.5,12.4,13.5,15.7,17.1,17.7,15.9,16.4,17.1,13.7,15.4
1988,16.9,16.6,17.4,17.3,15.1,16.9,12,13.2,14.9,15.6,18,14.3,15.7,17.1,16.6,14,16.1
1989,16.3,12.5,15.3,16.4,14.8,13.5,13.3,14.3,13.6,12.9,18.2,17.1,14.8,14.4,15.5,13.7,14.9
1990,16.1,14.2,16.3,17.1,16.7,15,14.6,14.4,16.1,15.7,18.9,18.4,16.1,15.8,16.7,14.7,16.9
1991,15.6,14.2,17.2,16.5,16,15.9,13.3,13.3,13.3,14.8,13.9,14.9,14.9,16.1,16.6,14.2,14
