Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.8,19.6,17.5,13,10.8,8.3,8.9,7.9,11.4,12.3,10.5,15.3,12.5,16.7,13.8,8.4,11.4
1954,13.5,14.6,14.6,16.4,14.8,13.2,10.2,12.6,13,15.6,16.5,18.6,14.5,14.5,15.3,12,15.1
1955,20.8,17.7,18.3,14.8,14.3,9.7,9.2,9.3,12.2,14.8,19.8,18.2,14.9,19,15.8,9.4,15.6
1956,22.6,17.4,17.4,14.5,15.4,12.2,8.9,11.4,12.5,13.4,15,16.3,14.8,19.4,15.8,10.8,13.6
1957,18.3,16.8,18.8,16.4,13.5,12.3,10.8,9,13.1,15.3,18,18.6,15.1,17.1,16.3,10.7,15.5
1958,22.7,17.1,18.7,18.8,15.9,13.9,10.8,11.2,17,15.3,19.4,20.6,16.8,19.4,17.8,12,17.2
1959,17.7,18.6,25,17.4,14.3,13.2,7.8,9.6,13.2,15.7,19.7,17.3,15.8,19,18.9,10.2,16.2
1960,20.7,18.1,19.6,18.3,11.2,12.3,9.5,9.1,13.4,14.9,14.6,16.4,14.8,18.7,16.4,10.3,14.3
1961,19.3,15.7,22.7,20.6,18.3,11.4,9.4,8.8,11.1,16.3,16.7,18.7,15.7,17.2,20.5,9.8,14.7
1962,21.1,20.6,21.3,17.6,12,11.7,11.4,11.2,12.6,16.8,18.9,21.3,16.4,20.1,17,11.4,16.1
1963,20,20.7,19.1,21,13.9,14.2,10.2,9.5,13.3,13.7,21.5,20.2,16.5,20.7,18,11.3,16.2
1964,21.2,20.9,22.5,16.7,15.3,13.3,10.4,11.9,13.8,14.6,16.2,18.3,16.3,20.8,18.2,11.9,14.8
1965,18.7,18.2,18.3,20,18.1,13.9,9.2,10.4,13.8,16.9,17.5,15.4,15.9,18.4,18.8,11.2,16.1
1966,20.3,16.8,14.4,13.6,16.3,16.9,15.3,15.1,17.5,17.4,18.8,23.2,17.1,17.5,14.7,15.7,17.9
1967,20.5,25.5,22.6,22.1,22.5,16,13.6,13.6,18.1,17.5,20.1,20.9,19.4,23.1,22.4,14.4,18.6
1968,19.6,17.6,17.7,15.8,14.4,13.1,9.9,12.9,10.7,14.1,17.3,19.6,15.2,19.4,16,12,14
1969,15.9,17.6,19,16.8,14.8,11.2,11,11.5,12.5,14.3,14.6,17.6,14.7,17.7,16.9,11.2,13.8
1970,15.9,16.2,15.3,16,15.6,14.7,12.4,13.4,14.1,15.1,14.8,20,15.3,16.6,15.6,13.5,14.7
1971,18.2,16.9,19.3,15.6,13.3,13.1,11.2,12.8,12.7,13.6,17.9,17.6,15.2,18.4,16,12.4,14.7
1972,16.7,19,19.3,15.8,16,13,12.4,13.8,13.6,15.6,18.8,19,16.1,17.8,17,13.1,16
1973,18.7,19.5,16.4,20,15.7,14.5,12.7,11.5,13.6,16.3,16.6,17.3,16.1,19.1,17.4,12.9,15.5
1974,16.8,19.2,20.7,16.8,16.5,12.8,11.9,12,13.3,14.6,16.2,16.1,15.6,17.8,18,12.2,14.7
1975,15.3,14.1,16.2,15.1,13.1,12.4,11,9.1,9.4,11.5,13,13.8,12.8,15.2,14.8,10.8,11.3
1976,17.7,20.8,18.8,15.9,17.6,12.4,12.3,12.9,13.5,14.4,17.5,23.1,16.4,17.5,17.5,12.5,15.1
1977,18.7,16.1,18,17.4,16,15.5,13.7,10.4,14.1,15.9,13.9,19.8,15.8,19.3,17.1,13.2,14.6
1978,18.3,13.2,15.9,16,13.6,12.8,11.1,11.3,12.7,15.7,15.3,18.1,14.5,17.1,15.2,11.7,14.6
1979,20.8,21.9,18.8,17.2,13.9,14,10.5,11.3,13,13.9,15.2,17.3,15.6,20.3,16.6,11.9,14
1980,19.9,15.3,20.6,15.9,13.1,13.3,10.4,9.8,14.1,15.2,19.9,14.8,15.2,17.5,16.5,11.2,16.4
1981,15.1,17.9,15.4,17.6,12.3,10.4,9.1,9,14.4,14.1,14.3,15.9,13.8,15.9,15.1,9.5,14.3
1982,23.3,21.2,16.6,19.4,15.2,14.8,14.1,12.4,11.3,11.4,14.7,15.9,15.9,20.1,17.1,13.8,12.4
1983,14.7,17.5,17.3,15.9,13.7,9.4,11.2,11,9.9,14.4,18.2,16.1,14.1,16,15.7,10.5,14.2
1984,11.2,13.7,19.1,18.5,12.4,11.6,9.9,9.4,13.6,14.4,16,17.8,14,13.7,16.7,10.3,14.7
1985,20.7,17.2,19.2,15.2,12.2,13,9.2,8.2,8.6,13.5,17.9,17.9,14.4,18.5,15.5,10.1,13.3
1986,22.6,20.8,18.8,16.3,12.9,15,12.9,10.9,13.9,14.5,16.4,18.2,16.1,20.5,16,12.9,14.9
1987,19.6,20.7,16.5,15.6,13.1,12.7,10.8,10.7,14.1,12.9,15.4,18.3,15,19.5,15.1,11.4,14.1
1988,19.2,20.5,19.4,19.8,12.6,12,8.8,10.3,13.2,15.8,19.4,16.5,15.6,19.3,17.3,10.3,16.1
1989,17.1,14.8,15,16,11.2,11.7,12,12.3,13.8,13.4,16.5,21.4,14.6,16.1,14,12,14.6
1990,17.6,18.1,16,17.8,17.4,11.7,11.3,10.1,11.7,16.6,17.7,17.8,15.3,19,17.1,11,15.4
1991,15.2,13.3,18,13.3,14,12.1,9.9,11.4,9.6,14.9,15.2,17.8,13.7,15.4,15.1,11.1,13.2
1992,18.8,18.4,18.9,16.8,12.1,12.2,10.6,10.4,10.3,14.4,12.5,16.3,14.3,18.3,15.9,11.1,12.4
