Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,14.2,13.4,12.8,11.8,14.1,14.9,13,14.7,13.6,-9999.9,-9999.9,12.7,14
1963,14.4,18.3,16.3,16.6,15.1,13.6,13,12,12.9,13.9,16.2,15.8,14.8,15.8,16,12.9,14.4
1964,17.2,17.2,18.5,14.5,16.2,15.5,12,13,13,13.7,14.7,16,15.1,16.7,16.4,13.5,13.8
1965,16.4,17.5,15.2,15,14.5,14.9,13.4,13.7,12.4,14.7,15.3,12.6,14.6,16.7,14.9,14,14.1
1966,16.7,15.1,16.2,13.8,15.2,13.5,13.5,12.9,14.2,15.7,13,13.9,14.5,14.8,15.1,13.3,14.3
1967,15,17.3,14.4,17.6,17.2,12.8,10.8,11.1,12.4,13.8,14.5,15.1,14.3,15.4,16.4,11.6,13.6
1968,14.5,16.2,16.1,17.7,13.2,12.4,12.9,12.4,11,13.3,14.9,15.7,14.2,15.3,15.6,12.6,13
1969,15.5,15.8,16.1,15.2,15,12.7,11.7,10.3,10.4,13,14.3,14,13.7,15.7,15.4,11.6,12.6
1970,13.3,15.8,15.7,14.8,13.8,13.2,11.5,11.1,11.4,10.7,11.3,16.2,13.2,14.4,14.8,12,11.1
1971,16.1,17,19.5,14.7,14.1,14,12.5,13.6,13.4,13.1,14.8,16,14.9,16.4,16.1,13.3,13.7
1972,17.6,17.7,17.4,15.6,13.6,11.5,10,11.3,12.6,13.1,12.6,12.7,13.8,17.1,15.5,10.9,12.8
1973,14.6,13,13,16.5,13.1,11.2,10.7,10.3,11.2,12,15.1,13,12.8,13.4,14.2,10.7,12.8
1974,13.7,13,17.5,13.6,13.3,11.1,10.5,9.9,11.8,12.3,11.8,11.8,12.5,13.3,14.8,10.5,12
1975,11.9,15,14.5,15,11.4,12.3,11.8,9.8,10.8,12.5,13.2,12.8,12.6,12.9,13.6,11.3,12.2
1976,12.7,14.4,16.1,14.8,12.7,11.1,10.8,12,11.4,13.5,15.9,15.2,13.4,13.3,14.5,11.3,13.6
1977,15.2,14.4,15.5,15.3,14.2,11.6,12.5,11.1,10.8,13.1,13.9,15.4,13.6,14.9,15,11.7,12.6
1978,16.4,13.5,15.1,15.5,13.4,12.3,11,10.4,10.4,12.4,13,12.9,13,15.1,14.7,11.2,11.9
1979,13.3,14,14.1,13.2,12.8,12.5,11.2,10.6,11.9,-9999.9,13.1,13,12.7,13.4,13.3,11.4,12.5
1980,15.2,12.7,14.7,14.5,13,12.9,10.7,10.5,13.6,14.3,14,12.4,13.2,13.6,14.1,11.4,14
1981,13.2,15.5,13.1,16.8,13.6,12.4,12,10.2,13.1,11.8,15,13.7,13.4,13.7,14.5,11.6,13.3
1982,15.8,15.6,15.4,18.6,11.8,11.9,12.1,12.3,10.5,11.2,14.6,13.8,13.6,15,15.3,12.1,12.1
1983,13.6,13.1,14.2,13.1,12.7,10.4,12,9.7,10.9,12.4,15.3,12.7,12.5,13.5,13.3,10.7,12.9
1984,9.4,11.2,15.8,13.3,12.7,11.6,11.6,9.8,12.4,12.5,15.6,16.3,12.7,11.1,13.9,11,13.5
1985,15.7,15.1,16.5,14.7,13.3,12.4,9,10.3,10.1,12.5,12.2,11.3,12.8,15.7,14.8,10.5,11.6
1986,13.9,11.2,12.3,13.1,10.8,10.5,10.8,11.4,11,10.5,12.8,14.4,11.9,12.1,12.1,10.9,11.4
1987,10.5,13,12.2,13.6,12.4,12.7,10,10.7,11.8,12.7,13.6,13.4,12.2,12.6,12.8,11.1,12.7
1988,14.5,14.9,16.2,13.6,12.7,12.7,8.9,10.4,12.5,14.7,15,15.2,13.4,14.3,14.2,10.6,14
1989,15.1,13.1,13.8,13.9,13.3,12.1,11,11.1,10.4,12.8,15.3,12.8,12.9,14.5,13.7,11.4,12.8
1990,14.4,13.3,12.3,14.2,12.9,10.7,10.1,8.8,10.1,12.6,14.1,13.4,12.2,13.5,13.1,9.9,12.3
1991,13,13.2,14.4,11.8,11.8,11.5,10.6,10.3,9.2,11.4,11.5,13.2,11.8,13.2,12.6,10.8,10.7
1992,14.2,12.1,12.2,12.2,10.7,12.7,11.9,11.6,12,11.6,12,14.4,12.3,13.2,11.7,12,11.9
1993,13,12.5,12.6,13.4,13.5,12.1,11.6,9.2,11.3,14.4,14,11.8,12.5,13.3,13.2,11,13.2
1994,14.9,14,14,12.7,13.2,11,9.2,10.4,11.8,11,17,13.1,12.7,13.6,13.3,10.2,13.3
1995,13.9,15.2,10.5,13.8,12.2,9.6,9.8,9.5,9.3,12.9,12.3,12.5,11.8,14.1,12.1,9.6,11.5
1996,12.6,11.9,13.8,13.8,11.8,8.9,10.8,7.9,9.1,11.4,9.5,9.7,10.9,12.4,13.1,9.2,10
1997,14.4,11.1,12.9,11.9,14,10.4,10,8.7,9.7,10.4,11.8,11.4,11.4,11.7,12.9,9.7,10.6
1998,12,11.8,12.6,13.2,12.2,11.6,10.5,9.4,10.1,13.9,14.6,13.9,12.2,11.7,12.7,10.5,12.9
1999,14.5,12.3,16.5,13.4,11.7,9.9,10.5,9.3,9.9,12.8,15.1,12.8,12.4,13.6,13.8,9.9,12.6
2000,15.2,13,12.7,13.5,12.2,10.7,10.7,9.9,10.2,11,9.5,13.5,11.8,13.7,12.8,10.5,10.2
2001,9.2,14,14.3,12.5,11.1,10.4,9.7,9.1,9.1,11.1,11.2,11.4,11.1,12.2,12.6,9.7,10.4
2002,11.4,12.8,15.1,13.2,14,10.6,10.2,8.7,9.7,11.2,11.3,12.2,11.7,11.8,14.1,9.8,10.8
2003,11.8,13.6,11.7,11.7,9.8,9.9,9.7,9.4,8.9,11.4,13.1,13.5,11.2,12.5,11.1,9.6,11.1
2004,14.9,12,12.4,13.3,11.4,11.7,8.5,8.9,9.1,10,11.5,12.6,11.3,13.4,12.4,9.7,10.2
2005,12.1,10.7,14.4,12.6,12.1,10.4,9.4,8.8,10.8,11.9,14,12,11.6,11.8,13,9.5,12.2
2006,12.9,14.8,13.7,13.5,12.5,10.1,8.5,9.6,9.3,12.7,10.1,12,11.7,13.2,13.3,9.4,10.7
2007,12.2,15.4,14.4,13.5,12.1,11.1,8.8,8.9,10.3,10.6,12.3,12.8,11.9,13.2,13.3,9.6,11.1
2008,11.9,12.3,15.2,13.8,11.4,9.9,9.4,8.2,8.9,10.5,12.1,13.9,11.5,12.4,13.5,9.2,10.5
2009,12.6,13.4,12.3,14.5,13,10,9.9,9.5,9.2,11.3,9.8,12.9,11.5,13.3,13.3,9.8,10.1
2010,12.5,14.5,12.4,12.8,11.1,9,9.2,8.7,9.5,12,11.3,11.8,11.2,13.3,12.1,9,11
2011,10.4,12.6,13.7,-9999.9,11.3,10,9.2,8.7,8,10.6,10.5,9.3,10.4,11.6,12.5,9.3,9.7
2012,12.2,-9999.9,11.1,13.4,10.2,10.4,8.5,8.5,9.7,10.4,9.9,11.4,10.5,10.8,11.6,9.1,10
2013,12.1,12.4,12.2,14.2,9.9,9.6,8.2,9,9.1,9.4,14.1,10.8,10.9,12,12.1,9,10.9
2014,12.2,12.3,13,13.7,11.1,8.9,9.2,7.8,9.6,11.4,12.9,11.7,11.1,11.8,12.6,8.6,11.3
