Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,31.2,33.9,29.4,28.5,26.9,31.8,30.6,27.9,33,32.9,29.9,33.8,30.8,32.5,28.3,30.1,31.9
1954,34.9,29.6,31.2,33.8,30.1,23.8,22.9,25.8,26.7,34.7,37.2,34.4,30.4,32.7,31.7,24.2,32.8
1955,40.5,35.9,34.5,33.6,32.1,27.7,29.3,29.7,32.2,36.7,38,38,34,36.9,33.4,28.9,35.6
1956,32,41.1,36.9,29.8,33,30.2,27.5,28,28.8,31.6,37,33.5,32.4,37,33.2,28.6,32.5
1957,36.1,36.4,33.2,35.9,30.4,26.2,25.3,27.4,30.5,28.7,31.3,31.4,31.1,35.3,33.2,26.3,30.2
1958,29.4,28.3,28.2,29.1,25.9,25.8,25.6,28.3,30.7,28,33.2,30.5,28.6,29.7,27.7,26.6,30.6
1959,32.2,37.5,39,32,29.4,27.3,29.3,25.6,28.9,28.4,34.6,33.3,31.5,33.4,33.5,27.4,30.6
1960,30.3,33,36.2,33.9,27.9,29.5,27.1,26.7,27.7,28.3,31.4,31.9,30.3,32.2,32.7,27.8,29.1
1961,36,29.4,29.4,29.8,29.5,27.5,26.2,27.1,28.7,30.4,25.8,33.1,29.4,32.4,29.6,26.9,28.3
1962,34.7,34.9,31.4,30.2,28.8,29.2,25.9,26.8,26,28.2,28.4,32.9,29.8,34.2,30.1,27.3,27.6
1963,31.6,33.2,31.8,30.2,26.4,25.6,23.9,26.3,28.7,29.3,33.7,34.6,29.6,32.6,29.5,25.2,30.6
1964,34.4,34.3,33.7,37.2,30.7,27.2,28.1,26.4,28.8,29.5,29.9,29.6,30.8,34.4,33.9,27.2,29.4
1965,30.1,29.8,31,27.3,24.5,27.1,27,26.9,26.3,28.8,29,29.4,28.1,29.8,27.6,27,28
1966,36.5,34.1,26.7,31.8,27,26.3,26.5,20.2,25.7,28.5,25.6,31.2,28.4,33.3,28.5,24.3,26.6
1967,28.5,35.4,33,29.8,28.8,28.7,27.8,29.4,26.9,27.8,28.5,33,29.8,31.7,30.5,28.6,27.7
1968,34,27.5,30.9,30.6,31.7,29,28.6,31.6,24.5,30.9,33,32.7,30.4,31.5,31.1,29.7,29.5
1969,30.3,29.3,30.7,29,30.2,29.4,27,26,25.7,29.4,25,27.7,28.3,30.8,30,27.5,26.7
1970,27,30.5,27.2,28.6,29.8,28.9,27.6,28.2,26.3,28.7,26.9,33.7,28.6,28.4,28.5,28.3,27.3
1971,35.9,29.2,31.4,27.3,27.7,29.3,26.9,29,27.5,29.1,27.7,28.9,29.2,33,28.8,28.4,28.1
1972,30.5,30.8,28,29.8,28.7,26.6,24.9,27.1,22.9,27.4,33,31.4,28.4,30.1,28.8,26.2,27.8
1973,32,29.4,27.4,27.2,22.4,26.9,32,27.1,25,26.6,28.7,27.6,27.7,30.9,25.6,28.7,26.7
1974,35.4,35.9,38.6,30.6,26.7,26.8,26,25.1,28.2,29.8,29.3,33.3,30.5,33,32,26,29.1
1975,32.3,31.9,36.4,28,34.3,25.6,28.7,25.4,28.9,32,32.8,29.2,30.5,32.5,32.9,26.6,31.2
