Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,19.6,28.9,23.6,17.9,14.9,19.9,20.8,16.8,21.3,20.9,17,25.8,20.6,24.3,18.8,19.2,19.8
1954,24.7,21,24.1,22.8,18.3,15.5,16.8,19.5,19.5,21.3,22.2,22.6,20.7,23.8,21.7,17.3,21
1955,23.7,20.8,25,17.7,20.3,20.9,20.1,19.1,23.2,23.6,26.5,25.3,22.2,22.4,21,20,24.4
1956,25.8,23.7,21.3,21.1,24.3,22.4,18.2,20,20.7,23.2,23.2,20.7,22,25,22.2,20.2,22.4
1957,22.5,24,23.7,25,23.2,21,20.8,19.7,21.3,22.8,23.4,26.6,22.8,22.4,23.9,20.5,22.5
1958,22.7,24.6,19.9,23.6,24.1,23.2,17.6,24.3,26,25.7,25.1,26.2,23.6,24.7,22.5,21.7,25.6
1959,23.8,25.1,28.9,18.7,20.5,20.9,19.2,16.6,19.7,21,22.2,19.1,21.3,25,22.7,18.9,21
1960,23.7,14.4,23.8,19.9,13.9,18.8,17.5,18.1,19.9,20.6,21,26.6,19.9,19.1,19.2,18.2,20.5
1961,25.9,19.3,24.9,20.1,23.1,19.2,15,16.1,14.3,19.3,16.7,23.6,19.8,23.9,22.7,16.7,16.8
1962,26.2,19.5,23.7,20.8,16.3,18.8,19.4,17.7,18.9,23.4,23.2,22.8,20.9,23.1,20.3,18.6,21.8
1963,25,30.6,21.7,26.6,20.3,23.4,17.8,17.8,21.7,24.4,26.1,27,23.5,26.2,22.9,19.7,24.1
1964,25.2,27.3,29.7,20.3,20.8,21.9,16,18.4,18.8,19.1,23.6,26,22.3,26.5,23.6,18.8,20.5
1965,26.8,24.8,25.9,23,21.7,20.7,18.8,20.9,19.9,23.3,22.9,20.3,22.4,25.9,23.5,20.1,22
1966,26,22.5,19.5,19.4,20.7,20.1,19.4,18.3,22.3,22.5,22.6,25.3,21.6,22.9,19.9,19.3,22.5
1967,21.5,26,22.3,23.4,24.4,21.4,20.2,20.3,22.9,22.3,24.7,22.3,22.6,24.3,23.4,20.6,23.3
1968,26,24.2,22.1,24.4,16.2,18.5,17.7,16.7,13.4,19.7,20.1,23,20.2,24.2,20.9,17.6,17.8
1969,22.2,20.5,21.4,20,23,18,17.8,17.9,20.8,23.7,20.7,24.5,20.9,21.9,21.5,17.9,21.7
1970,22.6,21.2,20.6,19.7,19.8,19.1,17.9,14.4,14.7,21,20.1,26.6,19.8,22.7,20.1,17.2,18.6
1971,24.1,22.3,24.7,22,17.4,16.8,17.5,20.6,17.3,19.9,22.6,21.6,20.6,24.3,21.4,18.3,19.9
1972,20,22.5,23.4,17.5,16.9,18,16.6,19.1,21.1,23.3,22.7,20.2,20.1,21.4,19.2,17.9,22.4
1973,24.5,23.7,19.9,20.7,21.3,22,22,18.7,20.1,22.5,22.2,22.2,21.7,22.8,20.7,20.9,21.6
1974,20.5,24.3,26.3,20.2,21.8,19.2,19.5,19.3,20.7,22.9,24.1,23,21.8,22.4,22.8,19.3,22.6
1975,21.9,20.2,23.3,21.4,20.3,20.3,18.4,14.5,18.6,21.4,23.6,23.6,20.6,21.7,21.7,17.7,21.2
1976,20.5,22.4,24.6,19.1,25,22.7,19.1,20.6,18.2,20.9,22.9,29.6,22.1,22.2,22.9,20.8,20.7
1977,22.3,18.7,22.5,21.3,20.7,17.9,18.2,15,16.6,18.4,18,24.8,19.5,23.5,21.5,17,17.7
1978,23.2,17.9,23.6,19.8,18.8,21.8,16.8,18.1,19.5,18.6,20.7,24.3,20.3,22,20.8,18.9,19.6
1979,27.9,27.4,29.4,25.1,21.9,22.4,20.9,16.2,20.5,18,19.7,25.3,22.9,26.5,25.5,19.8,19.4
1980,26.7,17.9,24.9,20.1,19.1,22.2,19.4,15.6,19.3,19.2,25.4,23.7,21.1,23.3,21.3,19.1,21.3
1981,22.6,24.3,22.1,26.1,21.4,19.7,15.3,16.8,18,20.8,23.6,20.6,20.9,23.5,23.2,17.3,20.8
1982,27.1,24.2,20.5,27.3,21.7,17.7,18.7,17.1,16.1,17.5,21.3,22.6,21,24,23.2,17.8,18.3
1983,19.1,19.6,22.2,21.5,21.9,16.1,18.8,18.7,17.4,21.2,24.4,25.4,20.5,20.4,21.9,17.8,21
1984,19.3,23,26.8,25.4,23,22,21.3,16.2,18.9,17,19.7,20.9,21.1,22.5,25.1,19.8,18.5
1985,23.1,18.3,21.4,21,18.4,19.2,17.9,11.1,14.8,21.2,19.3,20.8,18.9,20.8,20.3,16.1,18.4
1986,25.6,21.2,23,18,19.2,17.1,16.5,17.4,15.6,17.6,20,20.1,19.3,22.6,20.1,17,17.7
1987,19.7,21.3,20.5,19.6,20.6,18.4,17,15.5,18.8,17.8,19.8,22.8,19.3,20.4,20.2,17,18.8
1988,20.9,20.5,21,23.5,21,19.8,12.1,16.6,19.8,20.6,22.2,17.6,19.6,21.4,21.8,16.2,20.9
1989,17.7,16.9,18.9,17.9,17.2,17,17.6,18.5,17.7,17.8,20.9,22.2,18.4,17.4,18,17.7,18.8
1990,22.2,19.9,18.3,19.9,21.8,19.7,14.5,15.5,16.4,21.1,24,21.1,19.5,21.5,20,16.6,20.5
1991,20.3,16.8,21.8,17.1,19.8,17.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.4,19.6,-9999.9,-9999.9
1992,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1993,21,20.5,24.5,23,20.8,22.4,17.2,-9999.9,20.2,22.5,23.5,27.6,22.1,20.7,22.8,19.8,22.1
1994,24.4,21.6,22.1,20.5,22.6,15.9,15.3,14.1,12.5,16.2,24,17.6,18.9,24.5,21.8,15.1,17.6
1995,14.6,19.7,20.9,16.2,17.3,17.3,16,16.7,16.4,17,18,21,17.6,17.3,18.2,16.7,17.2
1996,22,17.2,16.8,17.9,17.4,15.7,15.4,10.7,15.4,14.8,19.7,21.2,17,20.1,17.4,13.9,16.6
1997,22.2,16.5,19,22.9,20.5,18,17.6,14.7,18.1,17.4,20.7,21.1,19,20,20.8,16.8,18.7
1998,25.3,17.5,22.1,20.6,18.2,21.4,17,17.5,16.9,23,21.3,22.9,20.3,21.3,20.3,18.7,20.4
1999,22.3,22,25.4,22.9,20.3,19.2,15,16.3,17.8,22.5,22.3,22.5,20.7,22.4,22.9,16.8,20.9
2000,23.9,22,21.8,22.1,16,15.2,13.4,11.1,13.4,16.7,13.4,15.9,17.1,22.8,20,13.2,14.5
2001,10.4,14.3,13.9,13.1,13,13.5,15.8,15.8,16.8,17.8,18.9,16.7,15,13.6,13.4,15,17.8
2002,16.3,20.7,19.2,19.6,18.9,16.1,13.9,13.8,16.3,16.1,18.7,19,17.4,17.9,19.2,14.6,17.1
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,20.3,21.5,19.6,17,20.1,16.6,-9999.9,16.1,20.4,18.2,24.5,21.8,19.6,20.9,18.9,16.3,21
2005,21.6,17.6,22.7,19,18,18.4,16.2,15.7,18.7,20.2,20.5,22.2,19.2,20.4,19.9,16.8,19.8
2006,20,20.5,16.8,22.7,17,19.3,16.7,15.1,15.9,18.6,17.1,21.2,18.4,20.9,18.8,17,17.2
