Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.4,23.9,24.7,19.5,21.5,18.2,19.2,20.2,23.3,21.3,24.3,24.6,21.8,22.1,21.9,19.2,23
1954,22.2,25.7,19.7,23.3,22.6,22.3,19.1,18.4,20.2,21.8,22.9,24.8,21.9,24.2,21.9,19.9,21.6
1955,23,21.7,25.4,23.5,23.6,19.8,17.5,18.5,20.5,22.1,24.8,27,22.3,23.2,24.2,18.6,22.5
1956,23.8,23.7,24.3,18.6,20.8,22.6,17.8,16,20.7,22.7,22.1,23.4,21.4,24.8,21.2,18.8,21.8
1957,21.2,24.8,19.4,19.8,21.3,17.8,17.3,15.5,20.2,18.9,20.1,23.1,20,23.1,20.2,16.9,19.7
1958,20.3,21.8,18.5,18.2,19.9,17.1,15.7,16.5,23.7,21.3,24.5,23.3,20.1,21.8,18.9,16.4,23.2
1959,23.8,21.8,21.3,24.3,20.2,21.5,17.4,18.9,25.2,20.9,24.2,22.7,21.8,23,21.9,19.2,23.4
1960,22.2,18.5,22.2,23.5,21.1,23.2,17.3,18.1,21.6,21.6,22.4,22.3,21.2,21.1,22.3,19.5,21.9
1961,24.3,21.2,21.2,22.6,20.8,20,17.5,17.2,22.3,23.1,25,25.3,21.7,22.6,21.6,18.2,23.5
1962,27.9,16.2,22.1,23.4,21.9,21.2,17.6,18.7,22,21.4,24,23.7,21.7,23.1,22.5,19.2,22.5
1963,25.9,18.3,21.6,19,20.8,20.4,18.2,15.8,18,21.6,23.4,22.9,20.5,22.6,20.5,18.1,21
1964,23.9,28.5,22,22.2,25.3,19.1,20.3,22,24.2,23.7,21.5,26.5,23.3,25.1,23.2,20.5,23.2
1965,23.7,32,20.6,21.8,24.9,19.6,15.6,16,17.3,21.3,19.5,21.3,21.1,27.4,22.4,17.1,19.4
1966,24.3,21.7,22.9,23.3,22.2,19.3,16.7,18.2,17.6,22.3,22,21.3,21,22.4,22.8,18.1,20.6
1967,23.5,27.2,22.2,20.8,20.7,18.7,19.1,16.5,21.2,23.3,23.7,25.4,21.9,24,21.2,18.1,22.7
1968,25,21.3,19.9,22,22.6,17.5,16.4,15.9,19.6,21.4,18.4,20.4,20,23.9,21.5,16.6,19.8
1969,17.1,20.7,18,20.6,18.3,18.4,15.4,17.9,17.6,18.4,17.8,18.5,18.2,19.4,19,17.2,18
1970,18.6,22,20.1,22.3,20.5,22.5,18.3,19.8,19.8,21.8,20.7,27.1,21.1,19.7,20.9,20.2,20.8
1971,25.4,27.4,26.1,23.6,22.6,20.1,20.3,19.2,20.9,23.6,24.2,25.4,23.2,26.6,24.1,19.9,22.9
1972,24,22.5,22.1,26.1,20.2,22.8,18.7,18.8,22.6,23.1,20.5,24.7,22.2,24,22.8,20.1,22
1973,26.6,24,22.9,21.4,20.9,25.3,21.4,21.7,21.6,22.8,24.4,25,23.2,25.1,21.7,22.8,23
1974,26.7,26,26.4,22.4,22.5,22.7,19.8,18,19.6,21.6,22.7,21.4,22.5,25.9,23.8,20.2,21.3
1975,21.2,24.3,22.1,20.1,20.9,18.8,16.7,17.3,18.6,20,20.4,21.9,20.2,22.3,21,17.6,19.7
1976,23.7,22.2,22.3,20.8,22.7,20.1,19.5,20.7,19.1,22.2,21.4,23,21.5,22.6,21.9,20.1,20.9
1977,22.2,21.1,22.6,20.8,20.3,20.1,19.4,17.9,17.1,23.2,23.5,23,20.9,22.1,21.2,19.1,21.3
1978,23,24.7,20.1,24.4,20.7,18,17.3,17.6,22.9,23.7,22.8,27.3,21.9,23.6,21.7,17.6,23.1
1979,21.5,21.8,19.8,18.6,20,18.9,16.2,14.5,18.3,-9999.9,17.3,24.7,19.2,23.6,19.5,16.6,17.8
1980,25.3,20.4,22.7,23.2,20.8,19.1,15.9,19,20.2,20.7,21.9,21.1,20.8,23.4,22.2,18,20.9
1981,20.2,23.4,17.3,23.4,23.1,20.6,17.2,16.1,19.8,21,19.8,20.9,20.2,21.6,21.3,18,20.2
1982,23.4,23.5,23.4,22.1,21.3,17,15.9,16.9,18.2,19.7,20.4,20.9,20.2,22.6,22.2,16.6,19.4
