Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,23.9,21.9,20.3,22.4,19.8,20.2,27.9,28.4,23.1,-9999.9,-9999.9,21.6,22.6
1956,28,24.1,20.3,22.7,23,23.6,19.8,22.5,18.6,22.4,18.8,24.4,22.3,26.8,22,22,19.9
1957,31.6,23.7,22.3,22.5,19.2,22.7,20.9,18.3,17,21.9,18.6,18.8,21.4,26.5,21.3,20.6,19.1
1958,19.8,30.7,16.3,17.9,19.7,18.1,18.9,19.2,19.6,20.1,20.1,19.1,19.9,23.1,18,18.7,19.9
1959,24.8,25.9,23.1,21,19.5,17.9,20.3,21,18.2,19.1,19,20.6,20.9,23.3,21.2,19.7,18.8
1960,23.9,19.3,21,20.9,20.1,21.5,19.7,20.3,17.4,18,18.6,18.4,19.9,21.3,20.7,20.5,18
1961,27.4,20.7,18.4,23,17.5,19.2,18.7,19.7,22,26,20.9,18.3,21,22.2,19.6,19.2,23
1962,25.2,24.9,20.4,22.1,18.9,20.9,15.8,16.8,14.7,18.3,16.1,15.8,19.1,22.8,20.4,17.8,16.3
1963,21.4,16,17.9,17.6,19.4,15.7,18.5,15.5,16.3,16.2,18.6,19.4,17.7,17.8,18.3,16.6,17
1964,18.4,20.6,20.2,21.1,20.7,20.6,19.1,20.4,15.5,18.9,18.2,25.4,19.9,19.4,20.7,20,17.5
1965,16.9,22.5,14.5,18.3,21.4,21.1,18.8,17.5,16.3,16.9,21.1,20.3,18.8,21.6,18.1,19.1,18.1
1966,29.3,17.9,19.3,21.4,24.7,22.2,22.6,21.1,18.6,20.6,24,22.3,22,22.5,21.8,22,21
1967,23.4,20.6,19.6,19.3,20.7,19.4,20.2,17.6,18.3,17.8,18.5,18.3,19.5,22.1,19.9,19.1,18.2
1968,22.7,23.5,15.5,24.6,17.8,20.5,16.4,18.1,19.1,18.5,21,25.5,20.3,21.5,19.3,18.3,19.5
1969,31.1,18.9,20.6,18.9,19.2,18.5,22.2,23.6,14.3,19.4,21.1,18.5,20.5,25.2,19.5,21.4,18.3
1970,27.7,20,19.9,21.5,20.7,20.2,17.5,18,16.9,15.4,22.8,21.6,20.2,22.1,20.7,18.6,18.4
1971,21.1,16.2,18.5,17.8,16.5,16.5,14.9,16.2,16.4,17.1,17,20.7,17.4,19.6,17.6,15.9,16.8
1972,24.5,22.2,16.8,18.9,16.8,17.7,16.2,14.2,16.6,20.7,19.3,18.2,18.5,22.5,17.5,16,18.9
1973,23.2,21.5,16,15.3,18.4,18,16.4,15.4,14.9,15,22.8,17.9,17.9,20.9,16.6,16.6,17.5
1974,24,18.5,16.3,16.9,17.8,18.9,16.4,17,15,15.4,14.8,17.3,17.4,20.2,17,17.4,15
1975,16.9,23.1,17.9,16.2,18.2,19,17.3,16.6,16.1,17.4,18.6,17.3,17.9,19.1,17.4,17.6,17.4
1976,20.9,20.3,15.2,17,20.3,19.6,19.1,17.3,18,20.7,19.3,15.4,18.6,19.5,17.5,18.6,19.3
1977,17,15.7,18.3,19.7,18.8,17.2,17.6,13.4,14.5,14.3,19.5,25.3,17.6,16,18.9,16.1,16.1
1978,27.5,18.9,15,15.9,16.4,17.7,16.7,16.5,15.3,14.9,18.8,20.2,17.8,23.9,15.8,17,16.4
1979,28.1,23.1,13.8,15.6,17.5,17.7,15.1,14.5,14.5,16.1,21.1,23.9,18.4,23.8,15.7,15.8,17.2
1980,22.8,23.7,20.2,21.8,21.7,21.6,21.1,19.1,17.3,19.2,14.2,26.2,20.8,23.4,21.2,20.6,16.9
1981,17.3,23,16,19.4,15.2,18,15.6,16.4,17.1,14,15.2,21.9,17.4,22.2,16.9,16.7,15.4
1982,24.3,22.1,16.6,18.3,17.3,14.5,16.4,16.9,14.7,15.2,18.8,16.9,17.7,22.8,17.4,15.9,16.2
1983,19.3,17.1,18.6,15.6,19,16.4,16.6,17.1,15.9,13.3,19.8,26.6,17.9,17.8,17.7,16.7,16.3
1984,23,15,17.1,16.2,18.8,16.9,16.8,16,13.8,15.4,16.8,22.9,17.4,21.6,17.4,16.6,15.3
1985,15.1,24.8,18.8,21,16.4,18.2,16.2,16.4,16.5,17.5,24.7,18,18.6,20.9,18.8,17,19.6
1986,17.4,25.9,19.4,19.9,15.7,19.1,14.9,15,17.4,16.7,19.6,18.7,18.3,20.4,18.3,16.3,17.9
1987,16.2,15.7,17.4,18,16.9,18.3,16.5,15.7,15.4,16.1,12.9,17.1,16.3,16.8,17.4,16.8,14.8
1988,25.9,21.6,17.9,15.9,15.7,17.4,15.6,14.6,14.4,16,16.6,19.5,17.6,21.6,16.5,15.9,15.7
1989,21.5,25.3,20.2,15.6,16.9,15.8,14.3,14.1,14.3,14.3,15.3,15.5,16.9,22.1,17.6,14.7,14.7
1990,20.2,19.8,16.3,19,15.3,17.7,15.6,15.3,14.3,16.9,19.4,21.8,17.6,18.5,16.9,16.2,16.9
1991,25.6,18.6,17.3,16.1,17.3,17.7,16,16.2,14.8,17.1,16.1,17.7,17.5,22,16.9,16.6,16
1992,14.1,21.2,13.6,16,15.9,14,14.3,12.7,14.6,14.6,13.3,19.8,15.3,17.6,15.2,13.6,14.2
1993,25.4,19.9,16.9,13.4,15.2,15.7,13.6,11.1,13.1,14.2,14.5,13.5,15.5,21.7,15.2,13.5,13.9
1994,15,-9999.9,12.9,15.5,15.9,14.8,14.4,12.6,16.2,11.5,15.7,17.1,14.7,14.3,14.8,13.9,14.5
1995,26.9,19.7,15.7,14.9,13.7,14.9,16.3,13.5,13.8,15.8,15.1,17.9,16.5,21.2,14.8,14.9,14.9
1996,29.2,16.5,17.4,16.5,14.9,17.1,16.4,16.3,12.8,16,17.6,21.1,17.7,21.2,16.3,16.6,15.5
1997,20.6,12,19.3,15.5,13.3,16.6,15.7,12.7,13.2,14.6,19.1,13.7,15.5,17.9,16,15,15.6
1998,23.1,17.3,15.9,14.3,13.6,14.7,14.6,14.6,14.4,13.8,15.5,17.9,15.8,18.1,14.6,14.6,14.6
1999,16.6,13.2,13.3,14.4,17.2,15.2,15.8,13.8,11.1,17.4,13.1,13.1,14.5,15.9,14.9,14.9,13.9
2000,25.4,19.7,19.6,17.8,14.1,13.9,14.3,14.9,13.8,13.8,12.9,19.5,16.6,19.4,17.2,14.3,13.5
2001,17.4,22.8,18,16.9,18.7,17.4,15.6,13.1,16.4,18,17.8,18.9,17.6,19.9,17.9,15.4,17.4
2002,16.8,16.9,19.6,16.2,17.1,17.5,15.7,16.4,13.4,13.6,18.3,17.6,16.6,17.5,17.7,16.5,15.1
2003,20.7,16.7,17.2,16,16,16,16,15.6,16.9,16.9,18.8,17.1,17,18.3,16.4,15.9,17.5
2004,23.2,18.1,18.8,16.8,16.8,15.4,14.5,15.4,16.9,14.8,18.2,19.7,17.4,19.5,17.4,15.1,16.6
2005,24.4,16.4,15.5,18.1,15.3,17.2,17.3,13.9,13.2,14.2,14.8,19.2,16.6,20.2,16.3,16.1,14.1
2006,16.8,19.6,18.1,17.3,15.7,17,16.9,17,15.1,14,19.9,14.8,16.9,18.6,17,17,16.3
2007,19.1,20.7,19,18.9,16.2,14.6,13.9,13.5,16.3,17.6,17,20.5,17.3,18.2,18,14,17
2008,21.1,19.2,16.5,17.6,16.5,18.3,17.7,16.4,13.9,13.9,14.3,21.3,17.2,20.3,16.9,17.5,14
2009,21.5,20,13.9,11.2,14.4,16.7,12.9,13.9,13.9,14,13.6,24.2,15.8,20.9,13.1,14.5,13.8
2010,21.1,16.1,14.1,14.3,12.7,16.7,13.3,12.4,15,18.4,15.2,19.6,15.7,20.5,13.7,14.1,16.2
2011,21.5,16.8,19.2,12,14.3,15.2,15.6,14,16.2,14.9,16.2,13.3,15.8,19.3,15.2,14.9,15.8
2012,18.2,14.1,15,11.8,16.3,14.3,13.1,12,13.8,17.4,16.6,18.3,15.1,15.2,14.3,13.1,15.9
2013,14.3,14.5,10.9,16.9,13.9,13.5,14.5,12.1,12.7,10.4,12.8,18.3,13.7,15.7,13.9,13.4,11.9
2014,15,23.4,17.9,15.4,15.4,14.1,13.8,12.4,13.7,11.8,18.4,14.7,15.5,18.9,16.2,13.4,14.7
