Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,3.5,6.6,6.8,10.6,7.6,9.6,7.2,7.5,8.7,10.7,8.2,6,7.8,5.1,8.4,8.1,9.2
1954,6.5,9.3,7.3,8.8,6.2,8.1,8.8,7.2,8.5,8.7,10.1,9.5,8.2,7.3,7.4,8,9.1
1955,5.7,5.8,5.7,7.1,8.5,9.8,7.8,8.6,7.1,10,8.4,5.6,7.5,7,7.1,8.7,8.5
1956,4.9,6.4,7.8,9.3,9.9,8.3,8.4,8.9,8.2,8.7,11.5,5.5,8.1,5.6,9,8.5,9.4
1957,3.1,7.9,4.7,6.7,8.5,7.9,8.2,7.2,9.3,7.1,8,6.8,7.1,5.5,6.6,7.8,8.2
1958,5.4,5,4.7,5.6,8.7,8,9.1,7.4,6.7,11.5,7.6,5.8,7.1,5.7,6.3,8.2,8.6
1959,5,4.8,8.6,7.5,8.6,7.3,11,7.2,6.9,9.1,8.8,8,7.7,5.2,8.3,8.5,8.3
1960,5.4,4.5,9,8,7.5,7.7,9.6,7.4,7.7,9.2,8.4,6.5,7.6,5.9,8.2,8.2,8.4
1961,3.9,7.4,6.6,7.5,7.7,9.1,8.5,8.9,7.6,10.5,9.9,6.5,7.9,5.9,7.3,8.8,9.3
1962,6.6,3.3,6.9,8.3,7.5,9.3,8.7,8.1,9.4,9.8,9.1,8.1,7.9,5.5,7.6,8.7,9.4
1963,7.8,7.1,8.1,8.3,9.6,11.2,8.5,8.1,7.6,11.1,8.6,6.8,8.6,7.7,8.6,9.3,9.1
1964,4.5,9.6,7.3,9.8,9.5,9.2,8.7,8.2,7.4,7.5,8.4,8.5,8.2,7,8.9,8.7,7.8
1965,4.4,5.5,5.3,9,9.4,9.1,7.6,7.5,6.7,9.7,8,5.8,7.3,6.1,7.9,8.1,8.1
1966,1.7,5.3,8,8,9.3,7.3,8.1,7.5,8.1,9.4,8.9,4.9,7.2,4.3,8.4,7.6,8.8
1967,4.4,5.6,6.3,7.9,8.3,10.1,8.4,8,8.9,8.6,8.9,6.5,7.7,5,7.5,8.8,8.8
1968,5.8,6.3,6.9,9.3,8.4,9.2,7.7,7.1,8.2,9.1,8.9,6,7.7,6.2,8.2,8,8.7
1969,4.7,5.9,8.1,8.4,9.5,7.8,9,8.4,6.6,7.5,8.6,3.5,7.3,5.5,8.6,8.4,7.6
1970,4,4.6,6.6,7.7,8.7,8.5,8,6.8,6.3,7.6,6.6,5.3,6.7,4,7.7,7.8,6.8
1971,5.1,4.1,7.2,10.3,11.5,8.8,9.3,7.2,7.9,9.6,8.7,8.4,8.2,4.8,9.7,8.4,8.7
1972,5.5,6,9.4,8.9,8.3,8.7,7.3,6.8,8.7,9.4,9.2,6,7.8,6.6,8.9,7.6,9.1
1973,6.2,7.2,6.1,8.1,8.9,8.7,9.1,8.2,6.9,8.8,8.3,5,7.6,6.4,7.7,8.7,8
1974,3.6,7.5,7.9,8.2,7.6,9.9,8.5,8.3,8.2,10.7,9.5,9.3,8.3,5.4,7.9,8.9,9.5
1975,7.7,8.3,4.2,4.8,6.7,7.2,8,5.6,7,7.5,6.2,3.9,6.4,8.4,5.2,6.9,6.9
1976,5.5,5.1,7.6,10.2,12.1,8.5,7,6.9,7.1,8.4,5.8,4.6,7.4,4.9,10,7.5,7.1
1977,3,5.4,7.5,10.9,9.1,9.2,7,7.2,7.9,10.3,6.9,2.4,7.2,4.3,9.2,7.8,8.4
1978,3.2,7,8.6,9.9,11.8,12.9,10.1,8.8,7.7,12,9.1,8.4,9.1,4.2,10.1,10.6,9.6
1979,3.2,4.2,8.8,7.8,11.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,5.2,9.4,-9999.9,-9999.9
1980,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1981,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1982,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1983,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1984,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,6.4,6.9,2.7,-9999.9,-9999.9,-9999.9,-9999.9,6.6
1985,3.4,5.1,7.3,8.2,7.6,7.9,6.3,6,6.7,6.7,7.6,4.2,6.4,3.7,7.7,6.7,7
1986,6.9,5.2,7.7,9.9,8.7,10.4,8.1,7.8,6.1,5.3,7.8,4.6,7.4,5.4,8.7,8.8,6.4
1987,4.4,5.8,4.2,7.2,8.3,9.4,7.3,7.5,9.5,8.9,7.7,7.7,7.3,5,6.6,8.1,8.7
1988,2.7,7.6,6.1,8.3,7.7,9.1,7.8,8.6,8.3,6.7,7.2,6.1,7.2,6,7.4,8.5,7.4
1989,4.8,3.1,6.8,6.1,9.3,9.1,7.2,5.6,6.3,6.1,7.4,6.8,6.6,4.7,7.4,7.3,6.6
1990,3.2,6,6.2,6.4,7.2,9,8,7.7,11,6.7,6.7,4.1,6.8,5.3,6.6,8.2,8.1
1991,2.8,5.4,6.8,6.2,8.6,8.5,7.9,8.7,5.9,7.8,7.3,6.5,6.9,4.1,7.2,8.4,7
1992,4.2,6.1,8.4,8.9,11.3,9.9,7.9,9.1,8.6,8.1,6.7,6.9,8,5.6,9.5,9,7.8
