Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,18.8,22.2,22.5,23.9,17.7,18,16.6,16.2,18.3,17,18.7,24.4,19.5,20.5,21.4,16.9,18
1954,21.3,20.3,24.9,21.5,19.6,17.8,18,16.3,17.8,18.6,19.2,19.9,19.6,22,22,17.4,18.5
1955,19.1,13.9,23.3,16.5,17.3,15.3,14.5,15.2,15.4,19.1,23.7,21.2,17.9,17.7,19,15,19.4
1956,21.7,20,22.2,21.2,20.2,17.4,20.6,17.5,15.1,14.7,19.7,18.7,19.1,20.9,21.2,18.5,16.5
1957,19.4,17.3,17.9,20.1,21.2,18,18.5,15.3,17.8,18.5,24.5,23.9,19.4,18.5,19.7,17.3,20.3
1958,22.6,28.6,21.5,20.1,19.2,19.5,15.2,17.3,18,20.8,23.4,20.3,20.6,25,20.3,17.3,20.8
1959,22.4,20.6,20.9,20.3,16.5,17.2,12.9,16.3,18.1,19.2,24.8,20.2,19.1,21.1,19.3,15.5,20.7
1960,20.1,22.8,19.3,18,14.8,16.5,16.3,16,16.4,17,21.4,21.8,18.4,21,17.3,16.3,18.3
1961,20.2,18.5,22.5,21,21.9,17.6,13.8,15.3,16.7,18.2,19,23.2,19,20.2,21.8,15.6,17.9
1962,26.7,22.5,18.3,21,17.3,15.3,16.9,15.7,17.4,15,15.9,20.3,18.5,24.1,18.8,16,16.1
1963,20.5,20,19.8,20.3,18.1,14.2,15.3,15.4,14.6,15.4,20.1,17.3,17.6,20.3,19.4,15,16.7
1964,22.1,20.2,22.6,20.1,17.5,14.9,15.1,14.8,14.7,15.8,19.8,17.2,17.9,19.9,20.1,14.9,16.7
1965,22.7,21.6,19.8,17.6,16.4,16.9,13.3,14.2,15.5,17.9,18.4,17.4,17.6,20.5,17.9,14.8,17.3
1966,22.4,15.6,19.3,17.8,18.7,15,16.4,15.4,16.3,18.3,16.4,18.8,17.5,18.5,18.6,15.6,17
1967,19,22.6,17,19.2,17.4,13.6,11.7,13.3,15.8,16.2,19.2,18.5,17,20.1,17.9,12.9,17.1
1968,18.5,21.8,17,18.4,16.1,14.6,14.3,14.4,12.9,14,17,20.9,16.7,19.6,17.2,14.4,14.6
1969,18.7,18.9,20.4,18.9,16.8,15.1,14.1,15.1,16.8,18,18.6,21.4,17.7,19.5,18.7,14.8,17.8
1970,17.3,20.5,19.6,20,16.6,16.2,14.3,13.9,14.4,15.1,19.4,18.4,17.1,19.7,18.7,14.8,16.3
1971,21.7,23.4,20.2,20.5,17.3,13.8,15.1,15.4,13.5,13.6,18.2,19.8,17.7,21.2,19.3,14.8,15.1
1972,22.5,20.8,21.2,18.2,14.1,15.8,14.6,13.8,16.4,16.1,16.2,17.9,17.3,21,17.8,14.8,16.2
1973,23.8,20.5,19.1,20.8,18.6,15.3,15.2,14.4,15.6,16.8,21.9,21.3,18.6,20.7,19.5,15,18.1
1974,19.7,20.1,24.3,22.9,20.8,17.7,18.3,15.4,18.9,18.9,19.4,18.4,19.6,20.3,22.7,17.1,19.1
1975,19.9,18.6,20.6,24.9,15.3,16,15.9,15.7,15,15.8,16.8,17.5,17.7,19,20.3,15.9,15.8
1976,20.4,21.8,22.2,20.6,19.3,14.6,15.2,13.6,15.2,16.8,18.5,18.4,18,19.9,20.7,14.5,16.9
1977,22,21.4,21.6,19.2,17.3,17.3,14.5,13.4,12.8,15.1,17.8,20.1,17.7,20.6,19.4,15.1,15.2
1978,22.4,16.5,17.4,21.2,16.2,16.1,14.9,12.2,14.5,14.8,16.3,20.1,16.9,19.7,18.3,14.4,15.2
1979,21.8,19.8,17.4,20.4,15.2,17.3,14,15.3,15,16.5,16.8,21.4,17.6,20.6,17.7,15.5,16.1
1980,20.4,18.5,21.2,20.9,17.6,17.4,14.1,13.7,14.8,17.3,19.2,17.5,17.7,20.1,19.9,15.1,17.1
1981,15.6,19.5,17.9,20.8,15.1,14.5,14.1,12,14.7,15.8,15.5,14.1,15.8,17.5,17.9,13.5,15.3
1982,22.6,18.1,19.7,23.1,13.7,13.3,14.2,14.2,13.1,14,16.4,16,16.5,18.2,18.8,13.9,14.5
1983,17,14.8,18.7,19.1,17.6,12.5,14.9,12.4,13.5,15.9,18.4,20.2,16.3,16,18.5,13.3,15.9
1984,16.5,15.7,19.1,17.8,17,14.8,12.3,12.1,12.6,11.3,16.7,19.5,15.5,17.5,18,13.1,13.5
1985,21.3,21.4,23.5,20.3,17.8,17.7,16.1,14.8,15.6,17,20.5,22,19,20.7,20.5,16.2,17.7
1986,22.6,17.3,19.8,18.5,17.5,16.2,13.7,13.1,12.3,13.4,17.6,18.4,16.7,20.6,18.6,14.4,14.5
1987,17.7,17.1,18.1,19.3,16.4,14.3,13,13.6,12.1,13.7,16.7,18.7,15.9,17.7,17.9,13.6,14.1
1988,21.6,21.8,18.3,18.6,16.1,17.7,12.7,13.6,16.1,18.8,19.7,21,18,20.7,17.7,14.7,18.2
1989,22.4,20.1,18.9,17.2,17.1,14.3,12.6,10.1,14.6,16.4,22.2,18.1,17,21.2,17.7,12.3,17.7
1990,21.5,19.8,17.7,20.3,18.1,18.2,17.1,14.2,15.7,18.9,19.3,19.4,18.3,19.8,18.7,16.5,18
1991,21.1,19.3,19.9,17.9,14.1,16.8,15.4,15.9,15.5,16.5,18.5,17.4,17.3,19.9,17.3,16,16.8
1992,17.9,16.1,17.7,15.9,13.3,14.7,12.8,13.2,14,14.7,16.3,16.4,15.2,17.1,15.6,13.6,15
1993,18.5,19.1,18.3,17.9,16.2,16,15.8,12.7,15.6,17.1,18.6,16.2,16.8,18,17.5,14.8,17.1
1994,21.5,20,17.7,21.4,17.7,15.8,14.7,14.3,14.6,12.6,20.4,16,17.2,19.2,18.9,14.9,15.9
1995,18.8,21.1,17.7,20.5,17.7,14.3,14.8,13.7,14.5,17.5,18.9,20.6,17.5,18.6,18.6,14.3,17
1996,20,20.1,20.9,20.5,16.5,13,16.5,12,15,16.9,16.2,17.5,17.1,20.2,19.3,13.8,16.1
1997,23.3,20,19.5,17.8,19.4,13.4,15.1,14.6,16.1,14.4,15.8,16.8,17.2,20.3,18.9,14.4,15.4
1998,17.4,15.9,19.9,17,16.3,16.4,15.3,13.8,14.7,18,18.8,17.6,16.8,16.7,17.7,15.2,17.2
