Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1969,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1970,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,13,15.3,15.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.7,-9999.9
1971,-9999.9,-9999.9,10,13.1,13.3,17.5,16.8,19.1,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,12.1,17.8,-9999.9
1972,-9999.9,-9999.9,18.7,15.9,13.7,15.5,15.5,14.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,16.1,15.1,-9999.9
1973,-9999.9,-9999.9,12,-9999.9,13.4,14.9,16.6,-9999.9,-9999.9,-9999.9,14.1,18.2,-9999.9,-9999.9,12.7,15.7,-9999.9
1974,24.2,12,12.4,11.5,13.4,19.5,16.8,17.1,18.4,20.1,14.3,12.1,16,18.1,12.5,17.8,17.6
1975,16.5,15.2,18.4,12.9,18.7,16.3,17.8,16,15.7,19.6,12.6,13.6,16.1,14.6,16.7,16.7,16
1976,17.2,15.6,14,14.1,20.5,18.5,18.3,19.8,18.9,16.5,18.7,11.3,17,15.4,16.2,18.9,18
1977,12.9,15.1,11.2,13.6,16.6,20.9,14.9,18.6,18.3,14.9,15.6,20.3,16.1,13.1,13.8,18.1,16.2
1978,17.2,14.7,19.7,13.7,18.6,15.1,18.4,18.2,20,19.7,20.8,14.1,17.5,17.4,17.3,17.3,20.2
1979,14.8,14.1,13.5,16.2,20.3,18.9,16.2,17.2,17.5,-9999.9,20.1,18.6,17,14.3,16.7,17.4,18.8
1980,22.9,18.5,12.9,20.2,23.9,16.2,19.6,17.1,20.8,17.1,19.1,18.9,18.9,20,19,17.6,19
1981,16.2,18.6,17.5,12.4,14.7,18.6,20.2,23.8,19.1,18.7,19.3,18.4,18.1,17.9,14.9,20.9,19
1982,11.3,23.8,16,16.9,16.4,22.8,22.8,20.4,18.7,18.2,10.7,11.9,17.5,17.8,16.4,22,15.9
1983,17,14.6,13.7,16.4,17.1,17.7,18.3,17.5,18.9,14.5,15.6,17.7,16.6,14.5,15.7,17.8,16.3
1984,18,12.1,14,14.6,14.3,16.4,16.1,19.5,12.9,14.9,12.4,14.4,15,15.9,14.3,17.3,13.4
1985,11.4,13.9,14.1,15.5,14.8,17,16.3,14.2,18,15.3,17.9,13.1,15.1,13.2,14.8,15.9,17.1
1986,11.9,13.8,13.9,14.2,13.6,15.5,14.8,16.8,17.1,18,11.2,13.8,14.5,12.9,13.9,15.7,15.4
1987,15.7,13.7,14.3,12.9,17.5,18.9,16.4,17.3,15.3,15.9,15.9,11.3,15.4,14.4,14.9,17.5,15.7
1988,12.5,15.7,14.4,15.6,21.6,17.5,19.3,19.6,14.9,16.8,6.6,18.8,16.1,13.1,17.2,18.8,12.8
1989,14.7,20.9,15.2,14.4,17,16.3,15,14.7,18.4,14.4,10.1,11.2,15.2,18.2,15.6,15.3,14.3
1990,12.5,14.4,17.8,17.8,14.9,15.9,13.7,17.1,19.7,15.5,14,19.2,16,12.7,16.8,15.6,16.4
1991,21.4,15.5,12.4,13,16.3,16.2,15.3,17.2,16.7,18.2,15.6,11.9,15.8,18.7,13.9,16.2,16.8
1992,15.9,14.7,16.3,14.5,13.1,13.6,16,17.2,17.6,14.9,16.8,18.3,15.7,14.2,14.6,15.6,16.4
1993,21.5,21.7,15.7,14.2,18.9,17.6,17.6,16,20.9,17.4,13.5,13.9,17.4,20.5,16.2,17.1,17.3
1994,9.6,17.8,16.4,15.4,17.9,15.7,12.8,18.1,17.6,11.8,19.8,14.4,15.6,13.8,16.6,15.5,16.4
1995,14.1,17,16.9,14.5,17.7,18,17.6,15.1,15.6,16.9,14.8,17.1,16.3,15.2,16.3,16.9,15.8
1996,17.5,18.5,19.1,14.2,14.2,18.1,15.7,18.4,15.5,15,16,15,16.4,17.7,15.8,17.4,15.5
1997,14.6,11.6,16.2,15.6,15.5,17.1,15.4,18.4,15.7,16.1,12,13.3,15.1,13.7,15.8,17,14.6
1998,14.6,16.8,16.5,14.3,20.5,20.6,19,17.5,17.1,15.8,13.5,16.1,16.9,14.9,17.1,19,15.5
1999,13.1,13.8,14,16.7,18.9,18.7,18.4,20,20.9,16.1,12.4,17.3,16.7,14.4,16.5,19,16.4
2000,15.9,14.2,13,17.8,17.2,14.3,17,16.6,16.3,12.1,13.3,13,15.1,15.8,16,16,13.9
2001,17.1,13.4,12.7,16.8,17,15.3,17,16.5,15.8,12.9,12.6,13,15,14.5,15.5,16.3,13.8
2002,12.3,14,14.7,18.7,16.3,16.6,16.7,16.1,16.3,17.8,13.7,14.3,15.6,13.1,16.6,16.5,15.9
2003,14.1,15.2,15,13.8,17.3,17.5,19,16.8,18.8,16,16,15.4,16.2,14.5,15.4,17.8,17
2004,12.4,15.5,15.5,14.5,17.5,17.8,16.4,17.4,16.6,14.9,11.5,9.7,15,14.4,15.9,17.2,14.3
2005,21.8,16.4,13.2,12.5,15.3,16.1,17.8,15.6,17.3,16.8,14.6,10.4,15.6,16,13.7,16.5,16.2
2006,10.3,18.6,12.3,18,13.9,16.7,16.5,15.6,17.3,18.3,16.4,17.1,15.9,13.1,14.7,16.3,17.3
2007,14.5,10.6,14.1,18.4,19.4,17.5,15.8,17.1,17.9,13.5,22.4,11.3,16,14.1,17.3,16.8,17.9
2008,15.2,16.4,13.9,19.2,18.5,16,17.8,15.7,15.5,18,15.8,12.6,16.2,14.3,17.2,16.5,16.5
2009,17.3,15.9,13,14.6,14.4,16.8,14.9,15.9,17.8,14.3,12.9,18.4,15.5,15.3,14,15.9,15
2010,15.5,14.3,14.4,14.2,19.6,17.7,18,18.9,14.4,15.2,17.5,14.1,16.1,16.1,16,18.2,15.7
2011,15.9,20.4,13.7,17.5,16.9,17.5,15.6,15.9,15.8,15,13.3,13.2,15.9,16.8,16,16.3,14.7
2012,21.6,10.4,11.1,13.4,14.5,18.1,16.2,14.4,18.7,15.3,18.9,10.4,15.3,15.1,13,16.2,17.6
2013,13.9,13.8,14.8,19,14.3,14.1,17.3,15.1,16.7,15.4,18.7,16.8,15.8,12.7,16,15.5,16.9
2014,17.5,12.4,13.6,16.9,16.1,16,17.5,16.3,19.1,17.2,13.3,11.6,15.6,15.6,15.6,16.6,16.5
