Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,18.1,15.5,16.8,14.4,15.7,14.4,13.7,14.6,17,14.2,17.7,16.8,15.7,16.8,15.6,14.2,16.3
1954,18,19.5,15.1,18.9,15.6,15.2,14.2,13.6,13.5,14.2,16.3,17.3,15.9,18.1,16.5,14.4,14.6
1955,14.8,14.9,18.9,18.5,17.1,15.8,14,14.1,15,16.1,18.2,15.9,16.1,15.6,18.1,14.7,16.4
1956,16.3,18.1,18.8,16.6,16.6,16,15.7,13.7,15.5,17.4,13.4,16.8,16.2,16.8,17.3,15.1,15.4
1957,13.5,14.5,16.1,15.5,14.6,15.4,14.5,13.3,13.1,13.7,13.4,18.4,14.6,14.9,15.4,14.4,13.4
1958,15.8,14.9,15.8,16.2,14.9,15,15.4,14.2,15.8,13.6,15.5,15.3,15.2,16.4,15.6,14.9,15
1959,16.6,14.2,17.9,15.8,15.6,14,16.5,14.1,13.9,14,14.8,14.4,15.2,15.3,16.4,14.9,14.2
1960,13.7,15.9,16.1,18,13.4,13.5,13.8,12.6,12.5,13.7,14.2,11.7,14.1,14.7,15.8,13.3,13.5
1961,14.5,18.9,16.6,17.9,13.9,15.2,15.1,14.5,16.4,15.9,17.3,18.4,16.2,15,16.1,14.9,16.5
1962,13.9,14.3,15.5,16.2,15,14.2,15.1,13.9,13.6,15.4,19,14.3,15,15.5,15.6,14.4,16
1963,11.6,13.5,17,15.3,15.8,16.6,16.5,13.4,13.1,15.5,19.4,14.1,15.2,13.1,16.1,15.5,16
1964,22.5,16.2,18.3,16.5,15,13,14,14.4,13.6,11.2,13,16.2,15.3,17.6,16.6,13.8,12.6
1965,13,16.8,11.7,14.7,13.7,14.6,12.2,11.6,10.2,13.6,12.4,14.1,13.2,15.3,13.4,12.8,12.1
1966,14.9,12.4,15.1,14.3,16.2,12.7,12.2,13.6,10.5,13,14,16.6,13.8,13.8,15.2,12.8,12.5
1967,16.2,12.7,15.2,13.1,10.7,12.3,13.4,10.2,10.7,15.5,11.3,15.7,13.1,15.2,13,12,12.5
1968,16.6,11.5,13.2,17.1,12,12.1,13,12.5,14.2,16.1,16.1,18.4,14.4,14.6,14.1,12.6,15.5
1969,15.6,14.5,13.9,16.3,14,15.1,14.3,15.2,14.8,12,13.2,13.2,14.3,16.2,14.7,14.9,13.3
1970,14.2,12.9,15.3,18.2,13.2,14.8,13.7,11.7,14,13.5,14.9,17.9,14.5,13.4,15.6,13.4,14.1
1971,16.8,16.5,18.7,15.7,15.1,13.6,13.3,12.6,12.8,16.3,17.1,17.4,15.5,17.1,16.5,13.2,15.4
1972,20.5,18.1,18.6,20.8,15.6,15,18.1,15.3,15.4,12.5,16.1,16.5,16.9,18.7,18.4,16.1,14.7
1973,18,15.2,16,14.7,16.2,14.1,16.4,14.6,15.2,15.5,17.3,17.5,15.9,16.6,15.6,15,16
1974,17.8,19.6,19.2,16.9,14.2,15.3,14.1,12.8,12.6,13.4,16.3,18.3,15.9,18.3,16.8,14.1,14.1
1975,17.5,15.2,15.5,13.9,12.9,13.4,12.4,12.6,11,15.5,16.3,13.6,14.1,17,14.1,12.8,14.2
1976,13.3,15.3,16.1,14.2,13,13.1,11.1,10.8,10.9,10.6,10.2,12.7,12.6,14.1,14.5,11.6,10.6
1977,8.9,13,17.9,14.9,15.6,14.4,13.7,13.5,12.8,13.8,17.2,14.4,14.2,11.5,16.2,13.9,14.6
1978,12.1,14.5,15,17.5,17.8,14.9,14.5,15.7,15.1,12.9,13.6,16.6,15,13.7,16.8,15,13.9
1979,10.9,17.6,16,15.5,15.3,15.4,14.4,14.6,14.7,13.1,10.6,17.4,14.6,15,15.6,14.8,12.8
1980,12.7,13.7,16.7,15.4,13.7,13.3,13.6,13.8,13.5,12.1,16,15,14.1,14.6,15.3,13.6,13.9
1981,11,14.1,15.1,17.3,13.8,14.7,13.9,14.6,14.6,14.3,14.9,15.7,14.5,13.4,15.4,14.4,14.6
1982,15.2,16.6,14.3,17.6,15.1,14.2,15.7,15.1,13.5,16.7,13,15.3,15.2,15.9,15.6,15,14.4
1983,14.7,15.4,15.9,13,14.1,14.3,14.2,14.1,14.9,10.8,16.3,10.9,14.1,15.1,14.3,14.2,14
1984,11.6,16.4,14.1,15.8,14,12.9,13.7,12.7,13.2,13.9,15.6,10.6,13.7,13,14.7,13.1,14.2
1985,7.4,14.3,14.6,15.1,14.1,15.8,13.5,14.5,12.4,15.6,11.6,8.4,13.1,10.7,14.6,14.6,13.2
1986,13.5,12.5,13.9,15.3,14.3,15.7,11.8,13.8,11.8,8.4,13.3,13.4,13.2,11.5,14.5,13.8,11.2
1987,15.2,13.5,14.4,15.5,16.5,15,15.6,14.5,13.3,11.4,14.4,14.2,14.5,14,15.5,15,13
1988,14.5,13.3,17,15.6,14.2,14.7,13.6,15,13.6,12.1,17.6,12,14.4,14,15.6,14.4,14.4
1989,14.3,10.5,13.3,13.8,11.6,13.8,12.7,11.3,11.6,13.1,13.6,9.4,12.4,12.3,12.9,12.6,12.8
1990,16.9,14.4,10.9,12.2,13.1,12.9,14,11.1,11.7,15.9,15.5,15.8,13.7,13.6,12.1,12.7,14.4
1991,10.6,13,13.9,14.9,14.7,15.2,14.1,12.9,11.6,10.8,13.6,14.1,13.3,13.1,14.5,14.1,12
1992,15.7,11.5,11.4,12.7,12.1,11.3,9.6,13.9,16.7,16.5,15,15.3,13.5,13.8,12.1,11.6,16.1
1993,11.8,9.4,15.3,15.8,16.1,14.6,14.7,15,11.1,11.6,14.7,14.7,13.7,12.1,15.7,14.8,12.5
1994,13,15,14.2,13.4,13.3,11.6,12.5,12,10.2,11.3,17.6,14.6,13.2,14.3,13.6,12.1,13
1995,11,11.6,13.5,12.6,13.9,13.1,14.7,11.4,10.7,12.4,14.1,13.4,12.7,12.4,13.3,13.1,12.4
1996,13,11.5,10.5,12.2,12.4,11.4,14.3,11.1,11,12.2,11.6,14.3,12.1,12.6,11.7,12.3,11.6
1997,11.4,9.9,16.4,12.2,12.2,11.2,11.2,8.8,10.1,13.9,11,12.1,11.7,11.8,13.6,10.4,11.7
1998,14.7,14.5,11.4,11.2,14.3,14.6,12.3,11.6,12.2,11.5,16,17.4,13.5,13.8,12.3,12.8,13.2
1999,14.2,20.5,18,13.4,14,11.8,13.2,12.5,14.6,14.2,13.6,14,14.5,17.3,15.1,12.5,14.2
2000,14.1,11.2,13.7,13.2,12.6,13.8,12.6,13.2,10.9,13.7,10.1,11.4,12.5,13.1,13.2,13.2,11.6
2001,11.4,11.2,14.3,13.5,13.9,12.5,13,12.4,11.6,14.8,14.5,16,13.2,11.3,13.9,12.6,13.6
2002,14.1,13.7,13.9,14.9,12.9,13.9,13.2,13.4,13.9,9.3,12.2,14.6,13.3,14.6,13.9,13.5,11.8
2003,12.4,10.1,16.2,14.5,13.7,15,13.1,13.3,13,14.9,12.2,14,13.5,12.4,14.8,13.8,13.4
2004,11.8,11.5,15.1,13.4,12.2,13.3,15.4,12.9,13.6,13.3,12.5,12.7,13.1,12.4,13.5,13.9,13.1
2005,11.9,9.7,13.7,15.4,14.3,13.5,13.6,12.3,12.1,13,13.3,11.3,12.9,11.5,14.5,13.2,12.8
2006,16.9,15.5,16.8,14.5,14.5,13.5,14.1,12.7,10.6,12.6,17.9,14.2,14.5,14.6,15.3,13.5,13.7
2007,15.6,13.4,16.4,12.9,13,12.1,14,12,13.9,13.7,12.6,16.2,13.8,14.4,14.1,12.7,13.4
2008,15.9,12.6,13.8,13.3,13.2,13.4,13.4,13.7,11.9,13.3,14,13.2,13.5,14.9,13.4,13.5,13
