Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,13.5,12.8,14.5,15.9,16.9,16.1,13.6,15,17.4,16.2,17.1,17.3,15.5,13.1,15.7,14.9,16.9
1962,19.5,11.8,19.8,20.3,19.3,14.2,11.9,10,11,16.1,16.4,14.6,15.4,16.2,19.8,12,14.5
1963,15.4,17,16.2,19.8,17,17.6,14.9,12.9,15,17.4,16.3,16,16.3,15.7,17.7,15.1,16.3
1964,11.6,13.9,13,12.1,15.9,16.3,14.8,16,19,16.7,15.9,14.2,15,13.8,13.7,15.7,17.2
1965,18.8,14.7,17.7,15.5,16.2,16,15.2,16.2,17,17.5,17.1,11.9,16.2,15.9,16.5,15.8,17.2
1966,17,14.2,12.9,16.6,14.4,14.2,16.5,13.2,14.1,16.6,13.9,14.3,14.8,14.3,14.6,14.6,14.9
1967,9.9,17.2,13.5,15.4,15.9,15.4,13.5,13.8,16.5,15,14,12.8,14.4,13.8,14.9,14.2,15.2
1968,14.7,15.6,15,15.5,15.1,14.2,16.8,16.8,12.1,15.7,16.1,16.6,15.3,14.4,15.2,15.9,14.6
1969,14.2,12.4,15.6,13.4,16.6,16.8,14.6,13.9,16.4,16.2,15,14.9,15,14.4,15.2,15.1,15.9
1970,15.7,16,14.7,15.9,16.9,-9999.9,15,13.5,17.1,13.9,14.1,14.5,15.2,15.5,15.8,14.2,15
1971,15.4,12.9,16.9,15.3,14.7,15.6,12.9,14.6,15.3,16.6,15,11.3,14.7,14.3,15.6,14.4,15.6
1972,16.2,15.5,15.5,14,13.2,14.8,13.9,15.3,17.9,18.3,15.3,14.9,15.4,14.3,14.2,14.7,17.2
1973,16.9,14.5,17.6,16.4,13.9,13.7,16.3,12.4,17.1,15.5,14.2,18.3,15.6,15.4,15.9,14.1,15.6
1974,14.5,17.9,18.3,14.8,16.1,13.8,13.3,15.6,17.5,19.1,18.1,12.1,15.9,16.9,16.4,14.2,18.2
1975,11.6,15.1,17.5,20,12.6,14.7,15.3,16.1,13.3,18,16.6,14.4,15.4,12.9,16.7,15.3,16
1976,12,16.8,17,16.8,14.2,12.5,14.6,16.7,15.1,16.7,14.4,16.3,15.3,14.4,16,14.6,15.4
1977,15.2,13.6,14.8,17.8,18.5,12.8,17.4,13.4,12.7,16.1,18.1,10.7,15.1,15,17,14.5,15.6
1978,14.3,15.3,15.1,15.2,9.5,11.8,13.3,17.9,18.8,18.2,21.7,13.9,15.4,13.4,13.3,14.3,19.6
1979,13.6,22.1,17.2,-9999.9,14.1,17,14,12.6,15.7,-9999.9,9.5,12.8,14.9,16.6,15.6,14.6,12.6
1980,17.3,14.2,15.7,12.2,16.2,15.3,13.2,12.6,16.2,16.4,13.9,12.7,14.7,14.8,14.7,13.7,15.5
1981,12.6,15.8,15.1,16.8,10.6,14.8,14.4,10.6,10.8,14.7,15.2,11,13.5,13.7,14.2,13.3,13.6
1982,14.7,14.3,14.7,15,12.9,12.6,13.2,13.6,14.5,14.1,15,12.4,13.9,13.3,14.2,13.1,14.5
1983,12.7,12.2,15.8,12.8,13.9,13.2,13.4,13.9,13,15.9,14.9,15.4,13.9,12.4,14.2,13.5,14.6
1984,13,15.1,13.3,11.9,14.3,14.9,12.4,13.2,18.1,15.9,16.4,13.6,14.3,14.5,13.2,13.5,16.8
1985,16.9,11.5,17.1,15.6,13.6,12.8,13.5,10.9,13.6,17.6,15.3,15,14.5,14,15.5,12.4,15.5
1986,17.5,13.7,17.6,16.8,12.8,19.7,13.6,13.9,17.2,18.3,15.4,15.1,16,15.4,15.7,15.7,17
1987,11,17.3,15.9,16.3,16.4,14.8,13.2,13.5,11.4,15.3,18.5,8.6,14.4,14.5,16.2,13.8,15.1
1988,13.9,11.9,15.7,13.8,14,15.7,12.5,12.9,14.3,15.5,15.8,11.9,14,11.5,14.5,13.7,15.2
1989,15.1,14.8,15.3,15.5,12.6,11.3,14.3,13.5,16,13.6,13.9,13.4,14.1,13.9,14.5,13,14.5
1990,10.2,15.1,15.9,15.3,12.4,13.4,11.4,11.9,12.1,12.8,11.8,12.6,12.9,12.9,14.5,12.3,12.2
1991,12.2,14.2,14.1,14.1,15.2,16.2,12.3,12.4,15.2,15,12.3,14.4,14,13,14.5,13.6,14.2
1992,15.1,12.4,15.5,15.7,14.7,14.6,12.7,12.2,16.4,14.5,14.4,11.5,14.2,13.9,15.3,13.2,15.1
1993,14.9,12.7,12.4,12.1,12.7,12.1,11.6,10.8,15.6,15.7,15.6,10.2,13,13,12.4,11.5,15.6
1994,14.9,15.1,14.2,13.3,13.1,13.1,12.1,13.2,12.2,13.1,15.1,10.1,13.3,13.4,13.5,12.8,13.5
1995,7.7,10.6,11.6,10.2,10.5,13.9,11.9,13.1,16.4,13.1,14,11.4,12,9.4,10.8,12.9,14.5
1996,13.9,13.9,16.6,13.2,14,12.8,13.6,13.9,12.2,13.8,13.9,14.4,13.8,13.1,14.6,13.4,13.3
1997,17.4,15.1,16,16.3,16.1,14.6,14.8,11.7,13.8,15.2,14.8,14.7,15,15.6,16.1,13.7,14.6
1998,12.4,14.2,13.7,15.3,13.1,15.4,13,13.4,15.3,16.9,15.2,17.3,14.6,13.8,14,14,15.8
1999,14,12.5,18.1,15.9,15.6,14.5,13.6,12.1,13,16,16.2,12.9,14.5,14.6,16.6,13.4,15.1
2000,14.8,16.1,15.3,17,15,16.2,11.5,11,16.9,15.1,6.8,16.3,14.3,14.6,15.7,12.9,13
2001,11,12.7,11.6,15.9,11.4,15.1,11.6,14.5,14.1,15.5,16.5,13.6,13.6,13.3,13,13.7,15.3
2002,12.1,14.5,17.7,16.5,15.2,16.8,15.1,14.8,14.8,17,13.6,12.5,15,13.4,16.5,15.5,15.1
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,16.3,13.7,12.5,14.1,15.8,14.4,11.7,12.8,14.5,13.9,14.4,14.6,14.1,15,14.1,13,14.3
2005,15,13.8,14.2,18.2,14.1,14.1,13.5,12.9,16.1,13.9,16.2,13.1,14.6,14.5,15.5,13.5,15.4
2006,12.1,10.7,15.8,14.7,12.4,13.5,12.4,14,13.7,15.4,15.8,15.9,13.9,12,14.3,13.3,14.9
2007,15,14.8,14.5,12.4,14.8,12.8,11,10.5,13.7,16.1,13.2,13.1,13.5,15.2,13.9,11.5,14.3
2008,12.8,13.1,13.8,15.6,13.3,13.4,12.6,11.3,13,14.2,14.2,12.7,13.3,13,14.2,12.4,13.8
2009,13.9,11.3,14.3,16.9,16.6,12.3,11.5,13.9,15.4,14.2,14.2,12.1,13.9,12.6,16,12.6,14.6
2010,15.5,16.3,12.8,12.6,13.8,14.3,10.8,12.3,13.4,15.2,14,14.7,13.8,14.6,13.1,12.5,14.2
2011,10.8,12.7,14.5,15,12.5,11.6,10.6,11.5,15,11.8,15.2,14,12.9,12.8,14,11.3,14
2012,11.1,11.4,15.1,15.5,15.6,11.5,11.6,10.8,14.7,12.7,13.9,11.4,12.9,12.2,15.4,11.3,13.8
2013,17.8,12.3,16.8,15.4,13.5,12.6,15.1,11.8,14.3,12.8,15.4,12.6,14.2,13.8,15.2,13.2,14.2
2014,15.8,12.6,13.9,15.1,11.4,13.5,13.5,10.9,17,13.6,15,13.1,13.8,13.6,13.5,12.6,15.2
