Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.4,16.2,19.6,19.6,-9999.9,-9999.9,-9999.9,-9999.9,16.7
1960,21.5,24.5,24.4,24.7,18.2,21.4,18.9,16.8,21,24.1,23.3,24.6,22,21.9,22.5,19,22.8
1961,25.6,22.3,25.8,25.9,24.9,21.2,16.2,17.5,19.6,24.8,24.3,23.5,22.6,24.2,25.5,18.3,22.9
1962,28.2,24.6,26.5,26.4,19.5,21,16.8,20.1,23.3,27.4,24.3,27.9,23.8,25.5,24.1,19.3,25
1963,24.6,24.5,24.5,23.8,20.8,20.6,14.2,16.1,21.3,22,27.1,22.1,21.8,25.7,23,17,23.5
1964,25.6,25.3,24.8,19,21.2,17.3,16.8,18.1,14.7,20.2,20.8,24.9,20.7,24.3,21.7,17.4,18.6
1965,23.2,22.3,19.9,21.1,20.2,20.4,15,16.7,16.6,22,23.3,20.2,20.1,23.5,20.4,17.4,20.6
1966,26.8,21.9,20.2,17.4,18.2,17.9,15.8,15.5,19.4,16.2,18.4,24.4,19.3,23,18.6,16.4,18
1967,20.6,27.2,22.6,23.4,22.7,18.1,14.1,14.4,18.8,16.5,21.7,24.5,20.4,24.1,22.9,15.5,19
1968,25,24.1,23,22.6,17.9,14.6,12.1,15.4,19.9,23.9,27.1,28,21.1,24.5,21.2,14,23.6
1969,21.1,24.5,22.3,22.8,20.6,14.7,14.6,14.4,17,18.2,19.5,24.2,19.5,24.5,21.9,14.6,18.3
1970,19.3,24.7,21.8,20.1,19.3,18,14.9,14,15.5,18.2,18.7,24.8,19.1,22.7,20.4,15.6,17.5
1971,22.5,22.8,24.4,20.7,19.6,18.1,15.3,16.1,15.3,18.2,23.4,23.2,20,23.4,21.6,16.5,19
1972,23,26.5,25.1,20.3,21.7,17.2,14.2,16.4,18.9,21.1,23.5,24.4,21,24.2,22.4,16,21.2
1973,22.1,23.6,20.9,23.4,18.1,18.5,15.5,13.8,18.7,21.5,20.8,23.7,20.1,23.4,20.8,16,20.3
1974,20.5,24.4,26.2,22.7,21.6,17.3,14.2,15.5,18.5,20,22.9,21.3,20.4,22.9,23.5,15.7,20.5
1975,21.3,19.6,21.5,20.4,16.7,16.5,17,14.1,17.5,20,22.9,25.2,19.4,20.8,19.6,15.8,20.2
1976,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1977,21.1,19.4,20.3,20.1,19.1,-9999.9,15.7,13.4,18.6,20.7,18.5,23.6,19.1,20.2,19.8,14.6,19.3
1978,23.2,18.2,22.9,20.5,17.4,16,14.4,14.4,18.3,19.4,19,20.3,18.7,21.7,20.3,14.9,18.9
1979,-9999.9,20.7,21.6,19.3,17.5,17.4,14.7,17.3,17.7,18.5,20,21.6,18.7,20.5,19.4,16.4,18.7
1980,23.1,19.9,23.4,19.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.6,19.7,-9999.9,21.5,21.5,-9999.9,-9999.9
1981,22.4,-9999.9,18.7,23,16.3,16.6,14.4,15.9,21.1,-9999.9,23,22.3,19.4,21.1,19.3,15.6,22.1
1982,24.3,22.7,20.1,25.8,17.8,-9999.9,16.6,17.3,15.2,17.8,20.8,21.9,20,23.1,21.2,17,17.9
1983,20.2,21.7,21.8,18.4,17.6,-9999.9,15.5,15.6,16.5,18.8,22.2,21.7,19.1,21.3,19.3,15.5,19.2
1984,18.8,19.7,23.1,19.8,18.3,18.4,16.8,13.4,16.9,19.1,18.4,20.1,18.6,20,20.4,16.2,18.1
1985,21.2,18.5,20,19.3,17.1,18,15.8,14.2,15.7,19.3,19.3,19.9,18.2,19.9,18.8,16,18.1
1986,23.2,20,20.3,20.2,17.3,18.8,16.2,16.5,18.3,19.7,20.9,21.4,19.4,21.1,19.2,17.2,19.6
1987,20.5,18.4,16.4,16.7,18.7,17.9,14.5,16,-9999.9,18.6,20.5,21.7,18.2,20.1,17.3,16.1,19.5
1988,22,23.4,21.4,23.1,17.2,17.4,15.6,14.9,17.9,22.1,22.7,21,19.9,22.4,20.5,16,20.9
1989,22.4,-9999.9,21.1,21.5,16.5,13.7,15.4,13.8,16.7,16.7,20.8,20.5,18.1,21.7,19.7,14.3,18
1990,20.9,21.8,19.5,17.1,18.6,16,14.2,12.6,15.4,18.6,20.2,21.6,18,21.1,18.4,14.3,18.1
1991,18.4,17.7,-9999.9,18,16.3,15.5,14.4,17.1,18.5,19.7,24.2,20.4,18.2,19.2,17.1,15.6,20.8
1992,19.8,-9999.9,-9999.9,-9999.9,-9999.9,16.1,14.5,14,13.8,18.4,17.1,21.5,16.9,20.1,-9999.9,14.9,16.4
1993,18.8,20.2,19.6,17.4,14.8,16.1,13.5,13.5,14.8,18.2,20,20.9,17.3,20.1,17.3,14.4,17.6
1994,20.5,18.6,18,18.7,19.2,17,14.7,14.8,16.8,16.8,19.7,19.6,17.9,20,18.7,15.5,17.8
1995,18.5,19.8,16.6,16.8,15.7,14,12.7,13.5,16.2,20.7,23.5,21,17.4,19.3,16.4,13.4,20.1
1996,23.7,19.8,22.5,-9999.9,13.3,9.5,9.8,11.5,17.3,15.8,14.1,15.8,15.7,21.5,17.9,10.2,15.7
1997,18.6,14.2,14.7,11.1,10.9,10.3,9.2,12.1,16.7,15.6,19.5,20.1,14.4,16.2,12.2,10.5,17.2
1998,21.6,17.6,18.8,17.6,15.4,15.1,15.2,13.9,15.5,19.3,17.8,18,17.1,19.8,17.3,14.7,17.5
1999,21.2,19.7,21,17.8,13.9,14.5,13.6,14.3,16.3,19.2,18.6,17.1,17.3,19.6,17.6,14.1,18
2000,21.3,19.7,16.3,22.1,17.1,17.2,14.8,16.8,16.5,20.3,18.1,22.8,18.6,19.4,18.5,16.2,18.3
2001,16.2,21.7,21.5,18.6,15.8,13.9,13.9,14,14.5,19.4,18.2,18.2,17.2,20.2,18.6,13.9,17.4
2002,20.4,-9999.9,17.8,17,16.1,12.9,-9999.9,-9999.9,14.4,16.3,19.6,19.3,17.1,19.3,17,-9999.9,16.8
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,16.9,18.1,15.1,15.4,13.5,13.4,11.3,12.6,13.7,17.4,19.6,19.7,15.6,17.5,14.7,12.5,16.9
2005,17.8,16.4,20.5,16.6,17.8,13.6,12.1,11,15.4,18.8,19.3,16.2,16.3,18,18.3,12.2,17.8
2006,17.6,17.8,15,16.7,15.4,14.7,12.7,13.3,14.7,18.6,15.1,17.5,15.8,17.2,15.7,13.6,16.1
2007,19.3,16.4,20.8,19,13.9,15.3,11.6,11.7,14,15.7,20,18.7,16.4,17.7,17.9,12.9,16.6
2008,17.9,18.6,18.5,15.4,15.7,12.7,11.5,12.6,15.9,18.1,17.1,21.9,16.3,18.4,16.5,12.3,17
2009,18.4,17.9,17.3,19.1,13.4,12.7,13.5,12.6,13.6,16.7,16.5,19.6,15.9,19.4,16.6,12.9,15.6
2010,17.2,18.1,17.4,13.7,15.6,12.8,12.6,13.4,15.1,18,16.4,20,15.9,18.3,15.6,12.9,16.5
2011,16.5,19.3,20.1,19.4,12.8,12.8,13.4,14.4,12.7,18.1,17.6,17.9,16.2,18.6,17.4,13.5,16.1
2012,18.2,16,17.4,15.9,13.5,14.6,11.8,11.8,13.7,16.7,13.1,19.8,15.2,17.4,15.6,12.7,14.5
2013,17.4,19.1,18,17.3,14.2,14.3,11.5,11.9,13.9,14.9,17,14.8,15.4,18.8,16.5,12.6,15.3
2014,18.9,16.2,17.4,17.1,11.6,12.9,14.8,12.6,13.8,17.9,17.6,17,15.6,16.6,15.3,13.4,16.5
