Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,22,25.1,23,23.5,17.1,17.3,13.9,12.9,15.3,13.7,19.8,24.9,19,23.6,21.2,14.7,16.3
1954,22.2,22.1,22.9,19.3,16.8,15.8,12.5,12.7,13.6,17.8,18.4,19.3,17.8,23.1,19.7,13.7,16.6
1955,20.1,18.3,23.4,18.2,13.7,10.5,11.2,12.6,13.4,16.8,22.5,20.3,16.8,19.2,18.4,11.4,17.6
1956,21.3,19.4,21.7,20,17.6,11.3,11.3,12.1,13.6,13.5,16.3,15.9,16.2,20.4,19.7,11.6,14.5
1957,14.8,14,16.1,14.4,18,17,12.1,11.6,12.5,16,21.3,20.8,15.7,14.9,16.2,13.6,16.6
1958,18.8,21.3,17.5,18.4,18.6,14.5,11.7,12.3,13.9,16.4,21.2,16.3,16.7,20.3,18.1,12.8,17.2
1959,19.7,21,23.2,23.4,15.6,13.9,11.9,11.3,14.4,15.8,20.6,16.9,17.3,19,20.7,12.4,16.9
1960,18.4,21.4,21.8,22.4,19.1,14.5,11.8,8.9,8,8,12.8,17,15.3,18.9,21.1,11.7,9.6
1961,13.1,17.3,23.6,20.8,20,17.3,11.5,10,10.1,16,17.5,22.2,16.6,15.8,21.4,12.9,14.5
1962,23.6,20.9,21.3,22.6,19,15.7,12.1,11.5,14.2,15.7,14.1,20.9,17.6,22.2,21,13.1,14.6
1963,20.9,21.4,23.4,21.5,19.3,11.9,14.5,17,17.4,16.3,20.2,16.1,18.3,21.1,21.4,14.5,17.9
1964,19.6,14.5,20.8,18.6,17.3,13.2,11.7,12.6,11.9,11.6,13.1,17,15.2,16.7,18.9,12.5,12.2
1965,21.7,22.3,18.4,17.8,15.7,15.1,12.4,13,15.1,17.6,18.6,18.7,17.2,20.3,17.3,13.5,17.1
1966,19.4,15.1,18.9,17.9,17.3,13,13.4,11.1,11.3,17,15.3,18.3,15.7,17.7,18,12.5,14.6
1967,21.4,23.2,18.3,19.5,18.2,13.2,10.6,12.8,13.2,16.6,18.9,17.4,16.9,21,18.7,12.2,16.2
1968,18.8,23.3,21.3,20.8,17.9,15.6,14.4,13.5,13.4,16.8,18.5,22.5,18.1,19.9,20,14.5,16.2
1969,19.4,17.9,19.2,17.7,13.9,14.5,11.1,10.4,12.8,16,16.4,14.2,15.3,19.9,17,12,15.1
1970,11.9,19.2,18.1,21.1,17.7,15.1,13.3,12.8,14.6,15.1,19.5,19.6,16.5,15.1,18.9,13.7,16.4
