Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.6,19,22.7,22.6,21.5,20.3,20.1,16.9,20.7,20,24.1,22.4,20.9,19.8,22.3,19.1,21.6
1954,19.2,23.8,20.2,24.3,23.8,21.1,15.8,15.7,19.4,22.5,21.8,20.8,20.7,21.8,22.7,17.5,21.2
1955,17.7,20.7,21.7,22.5,25.2,20.1,18.7,20.8,20.6,21.6,24,21.4,21.2,19.7,23.1,19.8,22.1
1956,19,18,22.1,22.8,21.1,20.2,14.1,16.7,17.8,23,23.4,20,19.8,19.4,22,17,21.4
1957,21,22.5,19.6,20.6,23.1,18.8,16.5,16.5,19,21.3,20.7,22.8,20.2,21.2,21.1,17.3,20.3
1958,22.2,20.6,17.8,23.4,23.4,20,16.9,15.5,19.2,18.9,22.9,19.7,20,21.9,21.6,17.5,20.3
1959,19,16.6,21,23,24.1,17.4,17.1,17.6,18.1,17.9,19.3,18.5,19.1,18.4,22.7,17.3,18.4
1960,19.2,17.2,19.3,24.5,18.4,18.5,16.7,16.3,18.3,20.2,21.9,18.8,19.1,18.3,20.7,17.2,20.1
1961,20,21.7,22.5,25.7,19.3,18.2,13.4,15.2,16.6,22.4,22.7,18.9,19.7,20.2,22.5,15.6,20.6
1962,20.8,13.9,16.4,19.5,18.9,17.6,15.8,17.9,20.6,16.7,20.2,21.3,18.3,17.9,18.3,17.1,19.2
1963,20.7,19.5,22,21,22.4,18.4,16.2,15.2,18.2,20.6,20.1,18.9,19.4,20.5,21.8,16.6,19.6
1964,18.5,19.5,21,25.8,22.5,17.9,15.8,21.8,22.1,21.1,21.8,18.3,20.5,19,23.1,18.5,21.6
1965,20.6,23.9,20.3,21.2,25.2,22.8,17.6,15.3,16.7,19.6,18.3,20.5,20.2,20.9,22.3,18.5,18.2
