Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.8,25.1,22.5,19.4,16.2,17.6,16.8,14.6,17.6,18.5,17.5,24.3,19.2,22.9,19.4,16.3,17.9
1954,21.1,21.4,22.7,22.3,18.8,15.7,14.6,17.2,19.4,20.6,20.7,23.5,19.8,22.3,21.3,15.8,20.2
1955,21.9,20.9,25,21.3,19.6,15.3,16.2,16.2,18.3,20.2,24.3,21.3,20,22.1,22,15.9,21
1956,24.4,21.8,22.3,19.5,21.1,18.3,15.6,15.8,17.7,17.8,21.5,23.7,20,22.5,20.9,16.6,19
1957,21.9,17.8,20.5,19.8,17.5,17.6,15.4,13.8,15.9,16.6,18.6,23,18.2,21.2,19.3,15.6,17
1958,24.3,25,21.3,23.5,16.9,16.3,13.8,15.2,17.9,17,20.5,20.5,19.4,24.1,20.6,15.1,18.5
1959,20.1,20.2,25.1,20.2,15.1,14.6,12.2,11.3,16.2,19.3,22.4,21.6,18.2,20.3,20.1,12.7,19.3
1960,23.2,21.8,21.5,21.3,16.3,18.5,17.7,13.5,16.2,20,21.4,23.2,19.5,22.2,19.7,16.6,19.2
1961,25,21.8,24.3,22.9,23.6,17.4,13.2,13.7,15.5,18.8,18.5,21.1,19.7,23.3,23.6,14.8,17.6
1962,24.2,19.6,21.3,21.4,17.5,17.6,14.9,16.2,17.4,20.9,18.1,21.7,19.2,21.6,20.1,16.3,18.8
1963,19.1,21.3,19.9,19.9,17,16.5,14.1,15.7,17.6,17.3,21.9,21.3,18.5,20.7,18.9,15.4,18.9
1964,22.2,23.4,21.3,17.1,18.7,16.6,15.6,16.6,16.9,17.6,20.6,19.7,18.8,22.3,19,16.3,18.4
1965,21.4,19.1,18.1,15.1,17.5,16.9,14.2,18.8,15.2,18.4,20.3,16.4,17.6,20.1,16.9,16.7,18
1966,24.2,19.9,20,16.2,17.5,15.3,13.4,13.3,13.6,17.2,16,19.1,17.1,20.2,17.9,14,15.6
1967,18.1,22.2,18,19.5,21,14.2,11.3,12.8,17,15.8,18.5,20.8,17.4,19.8,19.5,12.8,17.1
1968,20.9,20.8,19.7,19.6,15.5,13.8,12.7,14.8,12.7,20,22.6,26.1,18.3,20.8,18.2,13.8,18.4
1969,20.2,22.8,23.4,19,19,14.6,14.8,16.1,14.8,18.7,18.3,23,18.7,23,20.5,15.2,17.3
1970,21.4,22.8,20,18.3,18.1,19.2,16.4,15.4,17.6,17.1,18.6,25.5,19.2,22.4,18.8,17,17.8
1971,23.7,20.5,23.6,20.8,16.8,17.9,16.8,17.9,16.4,17,21.7,24.5,19.8,23.3,20.4,17.5,18.4
1972,23.9,24.9,19,14.8,15.7,13.1,11.4,16,15.7,16.9,19.9,22.5,17.8,24.4,16.5,13.5,17.5
1973,23.9,21.9,19.6,21.8,17.4,17.7,16.2,14,15.7,17.5,22.6,21.3,19.1,22.8,19.6,16,18.6
1974,20.1,23.9,27.5,22.3,21.5,16.1,14.3,13.6,15.6,18.5,18.9,20.4,19.4,21.8,23.7,14.6,17.6
1975,21.3,20.8,23.5,21.8,17,16.5,17.2,12.3,14.8,17,19.3,21.3,18.6,20.8,20.8,15.3,17
1976,21.9,24.2,23.3,19,20,16.3,13.4,14.2,13,18.5,22.2,26.7,19.4,22.5,20.8,14.6,17.9
1977,23.8,20.8,22.1,21,19.3,14.8,14.8,11.3,12.9,15.1,15,19.4,17.5,23.8,20.8,13.7,14.3
1978,18.9,15.9,19.9,17.7,15.3,14.1,11.9,10,12.6,13.5,13.6,18.6,15.2,18.1,17.6,12,13.3
1979,19.2,19.8,21.4,19.7,17.3,16.2,14.4,15.4,16.8,-9999.9,17.1,21.5,18.1,19.2,19.4,15.3,16.9
1980,25.3,19.8,22.8,18.7,15.5,15.9,14.7,13.9,15.7,17,21.9,18.7,18.3,22.2,19,14.8,18.2
1981,19.4,19.8,19.4,23.9,17.7,14.7,14.6,11.9,17.4,17.3,20.5,21,18.1,19.3,20.3,13.7,18.4
1982,27.1,24.5,19.8,25.1,17.4,16.5,15.6,16.8,14.8,16.9,22.9,22.6,20,24.2,20.8,16.3,18.2
1983,22,24.8,25,21.7,20.8,15.4,17.3,16,16,18.9,24.5,24.4,20.6,23.2,22.5,16.3,19.8
1984,17.2,20.6,24.8,21.8,20.3,16.8,16.1,12,14.9,16,19.4,19.9,18.3,20.7,22.3,15,16.8
1985,25,20.5,21.8,19.7,18,17.3,13.9,10.7,10.4,17.2,17.2,18.8,17.5,21.8,19.8,13.9,14.9
1986,23.3,18.3,18.1,16.8,16,19.6,15.1,14.5,15.5,17.2,20.2,22.8,18.1,20.1,17,16.4,17.7
1987,22.4,26.3,18.2,20.5,18.1,17.4,12.6,15.6,19.5,17.3,20.5,22.2,19.2,23.8,18.9,15.2,19.1
1988,21.8,21.3,23.4,21.9,15.9,15.2,13.4,13.6,16.4,18.4,23.4,21.5,18.8,21.7,20.4,14.1,19.4
1989,21.7,20.3,19.5,19.8,16.3,13.6,12.8,16.4,15.6,16.9,22,24.9,18.3,21.1,18.5,14.3,18.2
1990,20.8,21.7,19.9,19.8,18.1,14.7,13.8,11.5,14.4,20.7,22.9,22.2,18.4,22.5,19.3,13.3,19.3
1991,19.4,17.9,21.2,16.7,17.9,14.9,13.5,15.7,17.6,18.9,19.5,20.5,17.8,19.8,18.6,14.7,18.7
1992,20.5,20.5,20.3,18.1,13.6,15.8,12.3,13.1,14.2,16.1,14.8,20.3,16.6,20.5,17.3,13.7,15
1993,19.4,20.3,19,19.1,14.6,15.4,13.5,11.7,14.4,17.5,16.6,18.6,16.7,20,17.6,13.6,16.2
1994,20.2,18.3,16.5,18.1,17.5,15.7,11.6,11.7,14.8,16,21,18.9,16.7,19,17.4,13,17.3
1995,18.5,19.2,17,17.6,16.6,14.4,12,13.3,13,14.6,16.4,17.5,15.8,18.9,17.1,13.2,14.7
1996,17.8,16.5,17.1,18.8,13.1,10.5,13.6,10.8,15.9,17.4,16.4,18.3,15.5,17.2,16.4,11.6,16.5
1997,24.6,18.5,20.3,20.7,19.5,14.2,14.5,13,15.1,15.5,19.8,20.9,18.1,20.5,20.2,13.9,16.8
1998,23,20.8,21.1,20.8,17.3,18.2,14.4,15.1,16.1,22.6,20,20.4,19.2,21.6,19.7,15.9,19.6
1999,21.8,20.5,21.6,19.1,13.8,13.1,12.4,13.3,12.7,18.5,20,19.2,17.1,20.9,18.1,12.9,17.1
2000,22.9,20.5,19.6,21.1,16.5,14.4,13.5,12.7,14.5,17.3,17,23,17.8,20.9,19.1,13.6,16.3
2001,16.4,22.3,20.3,18.4,15,14.3,13.2,11.8,13.5,16.8,16,17.5,16.3,20.6,17.9,13.1,15.4
2002,18.1,20.6,18.8,18,18,15.1,13.2,12.9,15.9,18.2,21.4,22.9,17.7,18.7,18.3,13.7,18.5
