Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.8,15.7,18.9,15.2,17.9,17.3,15.5,16.8,22.4,17,20,19.7,17.5,14.7,17.4,16.5,19.8
1954,16.3,21,17.9,21.9,20.2,20.9,17.5,17.2,19.2,20.1,19.9,20.1,19.4,19,20,18.6,19.8
1955,15.6,18.4,19.6,20.3,23.9,18.9,17,17.7,19.5,20.3,25.4,19.7,19.7,18.1,21.3,17.9,21.7
1956,17.7,16.9,22,18.9,17.8,19.2,14.3,16.4,18.6,20,21.9,18.7,18.5,18.1,19.6,16.6,20.2
1957,20.7,22.6,17.9,18,22.4,16.2,18.2,15,18.5,18.5,16.8,18.3,18.6,20.6,19.4,16.5,17.9
1958,15.8,17,15.6,21,20.9,18,17.3,16.8,20.3,19.1,18.3,17.2,18.1,17,19.2,17.4,19.3
1959,18.8,15.7,18.1,18.2,19.9,18,15.4,15.1,16.7,17.8,17.3,15,17.2,17.2,18.7,16.2,17.3
1960,12.9,10.6,16,18.8,17,18.2,12.9,13.7,16,16.3,15,14.9,15.2,12.8,17.2,14.9,15.8
1961,13.4,13.4,17.2,20.5,16.9,17.4,16.2,15.8,19.9,20.4,21.1,19,17.6,13.9,18.2,16.5,20.5
1962,21.4,14.8,17,19.4,18.4,17,17.3,17.1,18.7,19.9,19.7,21.1,18.5,18.4,18.3,17.1,19.5
1963,24.2,18.1,19.7,17.4,19.3,20,15.6,13.7,18.5,18,17,16.3,18.2,21.2,18.8,16.4,17.8
1964,17.8,20,20.2,19.1,23,18.1,18.4,19.2,21.4,19.7,17.3,16.7,19.2,18,20.8,18.6,19.5
1965,18.2,21.1,14.9,18.9,23.6,21.8,16.6,15.1,17.3,19.2,14.6,16.5,18.2,18.7,19.2,17.9,17
1966,18.4,17,20.9,21.4,23.6,19.2,18.3,16.3,18.9,21.1,18.8,15.2,19.1,17.3,22,17.9,19.6
1967,19.3,20.6,21.1,18.1,21,20.7,18.7,17.7,20.1,21.8,20.9,21.7,20.1,18.4,20,19,20.9
1968,17.4,16.1,15.7,16.5,20.5,18.7,16.2,16.3,17.8,16,16.8,16,17,18.4,17.6,17.1,16.9
1969,14.2,14.1,15.4,19,20.3,19.2,16.7,16.5,18,16.5,19,16.9,17.1,14.7,18.2,17.4,17.8
1970,16.2,18.7,15.5,22.6,20.7,19.4,16.9,18.3,17,18.5,16.7,17.9,18.2,17.3,19.6,18.2,17.4
